Linguagem,Projeto,Quantidade de Contribuidores,URL
C#,shadowsocks | shadowsocks-windows,53,https://github.com/shadowsocks/shadowsocks-windows.git
C#,CodeHubApp | CodeHub,6,https://github.com/CodeHubApp/CodeHub.git
C#,dotnet | corefx,344,https://github.com/dotnet/corefx.git
C#,PowerShell | PowerShell,265,https://github.com/PowerShell/PowerShell.git
C#,Wox-launcher | Wox,77,https://github.com/Wox-launcher/Wox.git
C#,mxgmn | WaveFunctionCollapse,13,https://github.com/mxgmn/WaveFunctionCollapse.git
C#,dotnet | coreclr,318,https://github.com/dotnet/coreclr.git
C#,aspnet | AspNetCore,359,https://github.com/aspnet/AspNetCore.git
C#,dotnet | roslyn,293,https://github.com/dotnet/roslyn.git
C#,StackExchange | Dapper,145,https://github.com/StackExchange/Dapper.git
C#,ShareX | ShareX,164,https://github.com/ShareX/ShareX.git
C#,dotnet-architecture | eShopOnContainers,88,https://github.com/dotnet-architecture/eShopOnContainers.git
C#,0xd4d | dnSpy,19,https://github.com/0xd4d/dnSpy.git
C#,aspnet | Blazor,60,https://github.com/aspnet/Blazor.git
C#,mono | mono,224,https://github.com/mono/mono.git
C#,SignalR | SignalR,77,https://github.com/SignalR/SignalR.git
C#,icsharpcode | ILSpy,73,https://github.com/icsharpcode/ILSpy.git
C#,aspnet | EntityFrameworkCore,155,https://github.com/aspnet/EntityFrameworkCore.git
C#,NickeManarin | ScreenToGif,34,https://github.com/NickeManarin/ScreenToGif.git
C#,JamesNK | Newtonsoft.Json,90,https://github.com/JamesNK/Newtonsoft.Json.git
C#,NancyFx | Nancy,266,https://github.com/NancyFx/Nancy.git
C#,aspnetboilerplate | aspnetboilerplate,124,https://github.com/aspnetboilerplate/aspnetboilerplate.git
C#,MaterialDesignInXAML | MaterialDesignInXamlToolkit,78,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit.git
C#,AvaloniaUI | Avalonia,100,https://github.com/AvaloniaUI/Avalonia.git
C#,AutoMapper | AutoMapper,121,https://github.com/AutoMapper/AutoMapper.git
C#,restsharp | RestSharp,185,https://github.com/restsharp/RestSharp.git
C#,OpenRA | OpenRA,255,https://github.com/OpenRA/OpenRA.git
C#,Microsoft | react-native-windows,96,https://github.com/Microsoft/react-native-windows.git
C#,App-vNext | Polly,51,https://github.com/App-vNext/Polly.git
C#,MonoGame | MonoGame,266,https://github.com/MonoGame/MonoGame.git
C#,aspnet | Mvc,150,https://github.com/aspnet/Mvc.git
C#,MahApps | MahApps.Metro,148,https://github.com/MahApps/MahApps.Metro.git
C#,dotnet | machinelearning,107,https://github.com/dotnet/machinelearning.git
