Linguagem,Projetos,Linhas de Comentario,Linhas de Codigo
C#,aspnet | Mvc,56318,252771
C#,Fody | Fody,218,4409
C#,duplicati | duplicati,18323,68799
C#,quasar | QuasarRAT,5388,27016
C#,mxgmn | WaveFunctionCollapse,35,643
C#,NLog | NLog,44513,87767
C#,0xd4d | dnSpy,117266,343955
C#,dotnetcore | DotnetSpider,6383,18748
C#,sta | websocket-sharp,12452,17036
C#,dotnet | corefx,440007,3100493
C#,kevin-montrose | Jil,2601,61876
C#,JustArchiNET | ArchiSteamFarm,3049,16851
C#,Unity-Technologies | UnityCsReference,35172,454967
C#,MaterialDesignInXAML | MaterialDesignInXamlToolkit,1892,19014
C#,restsharp | RestSharp,3315,14381
C#,picoe | Eto,34307,175361
C#,egametang | ET,82804,233490
C#,neo-project | neo,807,24216
C#,dotnet | coreclr,178919,1954167
C#,elastic | elasticsearch-net,36590,180208
C#,CodeHubApp | CodeHub,1023,25642
C#,domaindrivendev | Swashbuckle.AspNetCore,875,10408
C#,reactiveui | refit,633,8434
C#,yck1509 | ConfuserEx,3104,28048
C#,naudio | NAudio,20909,49922
C#,jstedfast | MailKit,59258,50800
C#,brandonlw | Psychson,133,1458
C#,playgameservices | play-games-plugin-for-unity,9361,30593
C#,kohsuke | winsw,978,5203
C#,mono | monodevelop,172286,690697
C#,ppy | osu,9318,96917
C#,Microsoft | Git-Credential-Manager-for-Windows,10264,25773
C#,chocolatey | choco,7887,37278
C#,bchavez | Bogus,2584,11700
C#,migueldeicaza | gui.cs,3448,8342
C#,Microsoft | VisualStudioUninstaller,896,2145
C#,akkadotnet | akka.net,90488,243947
C#,dotnet | winforms,88203,404830
C#,Accelerider | BaiduPanDownloadWinform,833,4056
C#,TheBerkin | rant,6246,18488
C#,reactiveui | ReactiveUI,23689,51196
C#,HJLebbink | asm-dude,6106,42944
C#,NancyFx | Nancy,23143,69733
C#,Sonarr | Sonarr,5006,138199
C#,xamarin | Xamarin.Forms,11878,310136
C#,ElectronNET | Electron.NET,3533,6342
C#,VsVim | VsVim,12360,86475
C#,SignalR | SignalR,7594,50820
C#,xupefei | Locale-Emulator,710,3605
C#,firstfloorsoftware | mui,2672,6340
C#,dotnet-architecture | eShopOnContainers,6437,47193
C#,ServiceStack | ServiceStack,33685,249863
C#,Live-Charts | Live-Charts,17411,38895
C#,Redth | PushSharp,582,4239
C#,0xd4d | de4dot,7786,66520
C#,quartznet | quartznet,22652,49441
C#,accord-net | framework,440271,801945
C#,praeclarum | sqlite-net,2105,8307
C#,itinance | react-native-fs,277,1889
C#,MvvmCross | MvvmCross,8976,99191
C#,Microsoft | FASTER,3898,17719
C#,aspnet | KestrelHttpServer,6194,66735
C#,shadowsocks | shadowsocks-windows,1451,14834
C#,simplcommerce | SimplCommerce,1464,44252
C#,scriptcs | scriptcs,844,17423
C#,serilog | serilog,5073,12650
C#,dotnet-state-machine | stateless,2182,7072
C#,ravendb | ravendb,27109,494244
C#,autofac | Autofac,10828,23335
C#,MonoGame | MonoGame,42709,158162
C#,ninject | Ninject,9571,24786
C#,ExtendRealityLtd | VRTK,3075,6154
C#,dotnetcore | surging,16527,51809
C#,Microsoft | PTVS,51125,216016
C#,nefarius | ScpToolkit,3394,21276
C#,sublimehq | Packages,1995,798
C#,dotnet | cli,2909,51908
C#,StackExchange | StackExchange.Redis,9043,44043
C#,OpenLiveWriter | OpenLiveWriter,66801,288980
C#,PrismLibrary | Prism,11854,49186
C#,Microsoft | referencesource,588218,2865628
C#,xunit | xunit,6534,51520
C#,dotnet | reactive,34840,288951
C#,EventStore | EventStore,8466,180978
C#,HearthSim | Hearthstone-Deck-Tracker,1380,44624
C#,Topshelf | Topshelf,4091,13500
C#,QuantConnect | Lean,140638,234145
C#,aalhour | C-Sharp-Algorithms,5847,16739
C#,sschmid | Entitas-CSharp,4220,23047
C#,Microsoft | ailab,3899,29328
C#,windows-toolkit | WindowsCommunityToolkit,36370,111051
C#,nopSolutions | nopCommerce,59391,181496
C#,Jackett | Jackett,2127,34701
C#,aspnet | AspNetCore.Docs,5007,102091
C#,projectkudu | kudu,5080,59367
C#,dotnetcore | CAP,2118,16865
C#,googlevr | gvr-unity-sdk,6574,17138
C#,udacity | self-driving-car-sim,7823,25283
C#,dotnet | machinelearning,62411,235951
C#,aspnet | SignalR,5291,39151
C#,ShareX | ShareX,24120,100517
C#,opserver | Opserver,3090,24499
C#,StackExchange | Dapper,3585,18974
C#,Humanizr | Humanizer,4272,29108
C#,dotnet | BenchmarkDotNet,4052,47031
C#,MediaBrowser | Emby,25399,160575
C#,IdentityServer | IdentityServer4,11932,57205
