Linguagem,Projeto,Numero de Tokens de Codigo Fonte (Excluindo Tokens de Comentario),Numero de Tokens apenas dos Comentarios,Numero Total de Tokens do Projeto,NTCF/NTTP (%),NTC/NTTP (%),Numero de Caracteres de Codigo Fonte (Excluindo Caracteres de Comentario),Numero de Caracteres apenas dos Comentarios,Numero Total de Carateres do Projeto,NCCF/NTCP (%),NCC/NTCP (%),Numero de Linhas de Codigo Fonte (Excluindo Linhas de Comentario),Numero de Linhas apenas do Comentarios,Numero Total de Linhas do Projeto,NLCF/NTLP (%),NLC/NTLP (%)
C#,QuantConnect | Lean,1524262,1240227,2764489,55.14,44.86,6941499,5305077,12246576,56.68,43.32,234145,140638,374783,62.47,37.53
C#,App-vNext | Polly,305393,163924,469317,65.07,34.93,1466660,702287,2168947,67.62,32.38,38596,9979,48575,79.46,20.54
C#,Jimmey-Jiang | Common.Utility,176897,79195,256092,69.08,30.92,707250,365093,1072343,65.95,34.05,31714,11131,42845,74.02,25.98
C#,aspnet | Mvc,1551009,505800,2056809,75.41,24.59,7775744,1996933,9772677,79.57,20.43,252771,56318,309089,81.78,18.22
C#,Microsoft | Quantum,30928,15768,46696,66.23,33.77,128511,68677,197188,65.17,34.83,4727,1575,6302,75.01,24.99
C#,SixLabors | ImageSharp,707145,339493,1046638,67.56,32.44,2734063,1243616,3977679,68.74,31.26,94315,34977,129292,72.95,27.05
C#,dotnetcore | CAP,85355,21544,106899,79.85,20.15,431629,88174,519803,83.04,16.96,16865,2118,18983,88.84,11.16
C#,migueldeicaza | gui.cs,50932,27955,78887,64.56,35.44,172264,104641,276905,62.21,37.79,8342,3448,11790,70.75,29.25
C#,kohsuke | winsw,28911,8630,37541,77.01,22.99,138946,36641,175587,79.13,20.87,5203,978,6181,84.18,15.82
C#,Microsoft | Git-Credential-Manager-for-Windows,164551,109000,273551,60.15,39.85,768298,451834,1220132,62.97,37.03,25773,10264,36037,71.52,28.48
C#,0xd4d | dnSpy,2599994,995300,3595294,72.32,27.68,12780635,3992637,16773272,76.20,23.80,343955,117266,461221,74.57,25.43
C#,Azure | DotNetty,627291,159589,786880,79.72,20.28,2557257,637033,3194290,80.06,19.94,98353,14038,112391,87.51,12.49
C#,dvf | blockchain,1888,423,2311,81.70,18.30,7438,1849,9287,80.09,19.91,318,46,364,87.36,12.64
C#,MahApps | MahApps.Metro,171502,42397,213899,80.18,19.82,839144,173801,1012945,82.84,17.16,25448,4599,30047,84.69,15.31
C#,JeremySkinner | FluentValidation,141410,59558,200968,70.36,29.64,718249,257911,976160,73.58,26.42,18740,6381,25121,74.60,25.40
C#,neuecc | UniRx,320495,33568,354063,90.52,9.48,1192468,144018,1336486,89.22,10.78,53097,3356,56453,94.06,5.94
C#,bitwarden | server,182389,6234,188623,96.69,3.31,854455,26258,880713,97.02,2.98,31358,826,32184,97.43,2.57
C#,dotnet | orleans,1240759,337739,1578498,78.60,21.40,6113876,1411099,7524975,81.25,18.75,195529,32608,228137,85.71,14.29
