Linguagem,Projeto,Quantidade de Contribuidores,URL
C,torvalds | linux,N/A,https://github.com/torvalds/linux.git
C,netdata | netdata,252,https://github.com/netdata/netdata.git
C,antirez | redis,304,https://github.com/antirez/redis.git
C,git | git,395,https://github.com/git/git.git
C,bilibili | ijkplayer,41,https://github.com/bilibili/ijkplayer.git
C,php | php-src,220,https://github.com/php/php-src.git
C,wg | wrk,1,https://github.com/wg/wrk.git
C,SamyPesse | How-to-Make-a-Computer-Operating-System,35,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System.git
C,ggreer | the_silver_searcher,190,https://github.com/ggreer/the_silver_searcher.git
C,julycoding | The-Art-Of-Programming-By-July,101,https://github.com/julycoding/The-Art-Of-Programming-By-July.git
C,emscripten-core | emscripten,387,https://github.com/emscripten-core/emscripten.git
C,cfenollosa | os-tutorial,11,https://github.com/cfenollosa/os-tutorial.git
C,FFmpeg | FFmpeg,288,https://github.com/FFmpeg/FFmpeg.git
C,stedolan | jq,101,https://github.com/stedolan/jq.git
C,tmux | tmux,13,https://github.com/tmux/tmux.git
C,obsproject | obs-studio,258,https://github.com/obsproject/obs-studio.git
C,curl | curl,363,https://github.com/curl/curl.git
C,pjreddie | darknet,4,https://github.com/pjreddie/darknet.git
C,libuv | libuv,326,https://github.com/libuv/libuv.git
C,vurtun | nuklear,91,https://github.com/vurtun/nuklear.git
C,Genymobile | scrcpy,15,https://github.com/Genymobile/scrcpy.git
C,numpy | numpy,415,https://github.com/numpy/numpy.git
C,openssl | openssl,352,https://github.com/openssl/openssl.git
C,radare | radare2,369,https://github.com/radare/radare2.git
C,commaai | openpilot,46,https://github.com/commaai/openpilot.git
C,facebook | zstd,110,https://github.com/facebook/zstd.git
C,robertdavidgraham | masscan,36,https://github.com/robertdavidgraham/masscan.git
C,mpv-player | mpv,262,https://github.com/mpv-player/mpv.git
C,nothings | stb,131,https://github.com/nothings/stb.git
C,esp8266 | Arduino,323,https://github.com/esp8266/Arduino.git
C,twitter | twemproxy,53,https://github.com/twitter/twemproxy.git
C,allinurl | goaccess,77,https://github.com/allinurl/goaccess.git
C,memcached | memcached,130,https://github.com/memcached/memcached.git
C,nginx | nginx,48,https://github.com/nginx/nginx.git
C,irungentoo | toxcore,160,https://github.com/irungentoo/toxcore.git
C,andlabs | libui,31,https://github.com/andlabs/libui.git
C,git-up | GitUp,33,https://github.com/git-up/GitUp.git
C,h2o | h2o,94,https://github.com/h2o/h2o.git
C,micropython | micropython,241,https://github.com/micropython/micropython.git
C,alibaba | tengine,67,https://github.com/alibaba/tengine.git
C,torch | torch7,130,https://github.com/torch/torch7.git
C,octalmage | robotjs,38,https://github.com/octalmage/robotjs.git
C,arut | nginx-rtmp-module,11,https://github.com/arut/nginx-rtmp-module.git
C,cloudwu | skynet,81,https://github.com/cloudwu/skynet.git
C,pbatard | rufus,84,https://github.com/pbatard/rufus.git
C,gentilkiwi | mimikatz,3,https://github.com/gentilkiwi/mimikatz.git
C,jonas | tig,133,https://github.com/jonas/tig.git
C,phpredis | phpredis,103,https://github.com/phpredis/phpredis.git
