Linguagem,Projetos,Linhas de Comentario,Linhas de Codigo
C,edenhill | librdkafka,28840,70057
C,chrismaltby | gb-studio,3018,15313
C,kovidgoyal | kitty,8861,132717
C,hak5darren | USB-Rubber-Ducky,62239,71960
C,Tencent | wcdb,164738,201747
C,shellphish | how2heap,402,1174
C,pjreddie | darknet,3267,28478
C,radare | radare2,68568,631278
C,openresty | lua-nginx-module,4079,41199
C,stedolan | jq,1877,19393
C,arut | nginx-rtmp-module,938,22890
C,Airblader | i3,11256,27175
C,bilibili | ijkplayer,6499,26002
C,mjolnirapp | mjolnir,2249,13930
C,skywind3000 | kcp,192,1451
C,grbl | grbl,2819,4437
C,Tencent | matrix,26888,41268
C,memcached | memcached,2819,18072
C,laruence | yaf,2761,8383
C,Microsoft | winfile,10529,26856
C,allinurl | goaccess,6168,20304
C,zserge | webview,39,2041
C,micropython | micropython,112335,199630
C,SamyPesse | How-to-Make-a-Computer-Operating-System,2722,17960
C,alibaba | tengine,11695,216365
C,nginx | nginx,5907,140911
C,jgamblin | Mirai-Source-Code,280,8144
C,netdata | netdata,6576,61880
C,rui314 | 8cc,721,9615
C,vurtun | nuklear,12133,59490
C,cesanta | mongoose,71455,138402
C,fastos | fastsocket,1946797,8828275
C,DoubleLabyrinth | navicat-keygen,8690,41809
C,phpredis | phpredis,3269,15636
C,cloudwu | skynet,5294,36582
C,cfenollosa | os-tutorial,387,2422
C,leandromoreira | ffmpeg-libav-tutorial,78,275
C,Tencent | xLua,25551,201282
C,openwrt | openwrt,32136,191354
C,martanne | vis,2926,19755
C,esp8266 | Arduino,46474,77977
C,offensive-security | exploitdb,125668,514493
C,citusdata | citus,25879,71499
C,nodemcu | nodemcu-firmware,125856,299124
C,lpereira | lwan,3300,17412
C,cmus | cmus,5289,38205
C,andlabs | libui,2339,18242
C,robertdavidgraham | masscan,8958,32511
C,vk-com | kphp-kdb,25461,286696
C,awslabs | s2n,7573,31640
C,JoeDog | siege,3313,12773
C,IAIK | meltdown,96,864
C,Genymobile | scrcpy,1319,4831
C,rofl0r | proxychains-ng,177,2481
C,squeaky-pl | japronto,280,4668
C,id-Software | DOOM,9704,37631
C,facebook | zstd,20921,78616
C,coolwanglu | vim.js,67380,308919
C,obsproject | obs-studio,45897,189597
C,happyfish100 | fastdfs,3767,55619
C,cstack | db_tutorial,64,706
C,clibs | clib,2978,14594
C,cuber | ngx_http_google_filter_module,97,1277
C,pervognsen | bitwise,99,8450
C,nelhage | reptyr,555,2438
C,systemd | systemd,30057,370435
C,HandBrake | HandBrake,14125,106359
C,marcobambini | gravity,3476,17795
C,RPISEC | MBE,311,2347
C,espressif | esp-idf,179928,459176
C,nbs-system | naxsi,2137,17340
C,tbodt | ish,1131,20406
C,haiwen | seafile,2463,34270
C,shadowsocks | ChinaDNS,40,1026
C,libretro | RetroArch,204818,1012182
C,wishstudio | flinux,3277,23230
C,kbengine | kbengine,279921,1179875
C,visit1985 | mdp,665,1899
C,torch | torch7,1236,19557
C,EZLippi | Tinyhttpd,91,410
C,curl | curl,43486,132875
C,mpv-player | mpv,20215,127102
C,session-replay-tools | tcpcopy,183,8153
C,pando-project | jerryscript,27279,80266
C,pocoproject | poco,152296,456696
C,philipl | pifs,39,416
C,pbatard | rufus,17074,68732
C,coturn | coturn,4686,37996
C,wren-lang | wren,7983,42842
C,libevent | libevent,15569,57460
C,mattn | go-sqlite3,79804,141668
C,emscripten-core | emscripten,191127,694585
C,redis | hiredis,1611,6251
C,postgres | postgres,348651,842574
C,spacehuhn | esp8266_deauther,328,43248
C,jonls | redshift,1001,4356
C,aquynh | capstone,5309,66589
C,b4winckler | macvim,68298,311865
C,stanfordnlp | GloVe,185,1140
C,id-Software | Quake-III-Arena,77794,276451
C,numpy | numpy,69819,160250
C,Xfennec | progress,114,918
C,jarun | nnn,545,3636
C,gentilkiwi | mimikatz,85972,194911
C,davatorium | rofi,6127,16965
C,libuv | libuv,11480,63327
C,apple | swift-corelibs-foundation,87721,117865
C,libgit2 | libgit2,38032,182668
C,krakjoe | pthreads,909,6186
C,lz4 | lz4,3522,12637
C,vmg | redcarpet,817,4522
C,google | ios-webkit-debug-proxy,1334,7223
C,SoftEtherVPN | SoftEtherVPN,38749,280321
C,antirez | disque,12451,49767
C,vysheng | tg,362,10549
C,jemalloc | jemalloc,6738,43769
C,git | git,38988,218438
C,timescale | timescaledb,8292,36718
C,julycoding | The-Art-Of-Programming-By-July,674,3984
C,mruby | mruby,6926,37504
C,bartobri | no-more-secrets,347,941
C,krallin | tini,68,619
C,openssl | openssl,55267,385935
C,commaai | openpilot,36953,128719
C,contiki-os | contiki,181795,358210
C,videolan | vlc,108982,469265
C,glfw | glfw,15445,61107
C,git-up | GitUp,32336,37009
C,huangz1990 | redis-3.0-annotated,28684,68108
C,ZipArchive | ZipArchive,1490,8115
C,sqlcipher | sqlcipher,92601,248976
C,libvips | libvips,52055,131599
C,googlecreativelab | anypixel,60451,74520
C,nothings | stb,11850,67618
C,hishamhm | htop,2994,14115
C,google | oss-fuzz,592,8697
C,fogleman | Craft,64226,172324
C,Meituan-Dianping | SQLAdvisor,40366,393345
C,Qihoo360 | Atlas,6153,21685
C,Provenance-Emu | Provenance,130370,774495
C,OpenVPN | openvpn,20856,85165
C,apple | darwin-xnu,335266,988498
C,greenplum-db | gpdb,362267,951738
C,zfsonlinux | zfs,83503,292081
C,nanomsg | nanomsg,8469,23303
C,MarlinFirmware | Marlin,137044,77933
C,nonstriater | Learn-Algorithms,558,2500
C,orangeduck | Cello,698,13906
C,erincatto | Box2D,12932,47435
C,sumatrapdfreader | sumatrapdf,100685,338662
C,begeekmyfriend | yasea,8665,69575
C,antirez | kilo,192,956
C,rswier | c4,12,493
C,antirez | redis,32093,127590
C,nmap | nmap,71592,164194
C,wg | wrk,838,4729
C,jedisct1 | libsodium,2023,45014
C,liuliu | ccv,85486,219076
C,ggreer | the_silver_searcher,353,5058
C,beanstalkd | beanstalkd,465,6392
C,machyve | xhyve,10181,38092
C,FFmpeg | FFmpeg,148111,1067773
C,FreeRDP | FreeRDP,46486,321391
C,twitter | twemproxy,2462,14379
C,jonas | tig,2733,33113
C,i3 | i3,11212,26702
C,memononen | nanovg,2724,16233
C,cinder | Cinder,288892,548574
C,hashcat | hashcat,8782,126342
C,Netflix | dynomite,5647,24405
C,irungentoo | toxcore,11776,31053
C,mozilla | mozjpeg,14836,51802
C,go-vgo | robotgo,7694,19268
C,gali8 | Tesseract-OCR-iOS,10187,20598
C,deepmind | lab,92380,320026
C,darlinghq | darling,313265,768550
C,nodejs | http-parser,704,6131
C,AppImage | AppImageKit,651,2981
C,CameraKit | camerakit-android,2256,3348
C,jorisvink | kore,1673,20202
C,bingoogolapple | BGAQRCode-Android,24881,137235
C,espressif | arduino-esp32,139416,178915
C,h2o | h2o,30237,169727
C,octalmage | robotjs,1272,4807
C,wangzheng0822 | algo,662,7313
C,raspberrypi | linux,3210571,16989209
C,matz | streem,436,9784
C,torvalds | linux,3235012,17324319
C,qmk | qmk_firmware,231625,430922
C,google | brotli,3309,31310
C,rhysd | vim.wasm,72215,342208
C,tmux | tmux,6512,44612
C,rmtheis | tess-two,138875,307851
C,swaywm | sway,1815,35443
C,s-matyukevich | raspberry-pi-os,798,8938
C,upx | upx,5941,94258
C,borgbackup | borg,13216,42543
C,DaveGamble | cJSON,1913,16058
C,mofarrell | p2pvc,2940,6902
C,zmap | zmap,1667,12731
