Linguagem,Projeto,Numero de Tokens de Codigo Fonte (Excluindo Tokens de Comentario),Numero de Tokens apenas dos Comentarios,Numero Total de Tokens do Projeto,NTCF/NTTP (%),NTC/NTTP (%),Numero de Caracteres de Codigo Fonte (Excluindo Caracteres de Comentario),Numero de Caracteres apenas dos Comentarios,Numero Total de Carateres do Projeto,NCCF/NTCP (%),NCC/NTCP (%),Numero de Linhas de Codigo Fonte (Excluindo Linhas de Comentario),Numero de Linhas apenas do Comentarios,Numero Total de Linhas do Projeto,NLCF/NTLP (%),NLC/NTLP (%)
C,torch | torch7,148247,13425,161672,91.70,8.30,488962,46254,535216,91.36,8.64,19557,1236,20793,94.06,5.94
C,videolan | vlc,2582674,785433,3368107,76.68,23.32,10521478,4019153,14540631,72.36,27.64,469265,108982,578247,81.15,18.85
C,philipl | pifs,2678,406,3084,86.84,13.16,7526,1652,9178,82.00,18.00,416,39,455,91.43,8.57
C,micropython | micropython,1001477,948264,1949741,51.36,48.64,4184480,4227423,8411903,49.74,50.26,199630,112335,311965,63.99,36.01
C,Airblader | i3,171182,89631,260813,65.63,34.37,701077,362338,1063415,65.93,34.07,27175,11256,38431,70.71,29.29
C,i3 | i3,167718,89277,256995,65.26,34.74,688979,360784,1049763,65.63,34.37,26702,11212,37914,70.43,29.57
C,libuv | libuv,350043,118541,468584,74.70,25.30,1322568,481943,1804511,73.29,26.71,63327,11480,74807,84.65,15.35
C,nothings | stb,530467,120613,651080,81.47,18.53,1795846,505848,2301694,78.02,21.98,67618,11850,79468,85.09,14.91
C,CameraKit | camerakit-android,13303,22537,35840,37.12,62.88,76665,93125,169790,45.15,54.85,3348,2256,5604,59.74,40.26
C,vurtun | nuklear,476878,103535,580413,82.16,17.84,1684765,473608,2158373,78.06,21.94,59490,12133,71623,83.06,16.94
C,krallin | tini,4780,826,5606,85.27,14.73,16871,3132,20003,84.34,15.66,619,68,687,90.10,9.90
C,DoubleLabyrinth | navicat-keygen,270269,126932,397201,68.04,31.96,1230333,537018,1767351,69.61,30.39,41809,8690,50499,82.79,17.21
C,id-Software | Quake-III-Arena,1852344,538707,2391051,77.47,22.53,6310213,2588634,8898847,70.91,29.09,276451,77794,354245,78.04,21.96
C,laruence | yaf,54879,26912,81791,67.10,32.90,253419,79331,332750,76.16,23.84,8383,2761,11144,75.22,24.78
C,jorisvink | kore,116414,15353,131767,88.35,11.65,442887,61939,504826,87.73,12.27,20202,1673,21875,92.35,7.65
C,pando-project | jerryscript,350237,208816,559053,62.65,37.35,1976238,875338,2851576,69.30,30.70,80266,27279,107545,74.63,25.37
C,google | brotli,825677,33818,859495,96.07,3.93,1556145,138763,1694908,91.81,8.19,31310,3309,34619,90.44,9.56
C,facebook | zstd,570811,210016,780827,73.10,26.90,2189053,958104,3147157,69.56,30.44,78616,20921,99537,78.98,21.02
C,jonls | redshift,23443,9310,32753,71.58,28.42,94456,40249,134705,70.12,29.88,4356,1001,5357,81.31,18.69
C,lz4 | lz4,91398,35773,127171,71.87,28.13,390631,165312,555943,70.26,29.74,12637,3522,16159,78.20,21.80
C,jgamblin | Mirai-Source-Code,50465,2762,53227,94.81,5.19,176507,10470,186977,94.40,5.60,8144,280,8424,96.68,3.32
C,vmg | redcarpet,33683,7746,41429,81.30,18.70,98166,31272,129438,75.84,24.16,4522,817,5339,84.70,15.30
C,antirez | kilo,6473,2483,8956,72.28,27.72,16810,9388,26198,64.17,35.83,956,192,1148,83.28,16.72
C,git | git,1387545,322916,1710461,81.12,18.88,5106013,1218479,6324492,80.73,19.27,218438,38988,257426,84.85,15.15
C,contiki-os | contiki,1866142,2006536,3872678,48.19,51.81,7071339,7408388,14479727,48.84,51.16,358210,181795,540005,66.33,33.67
C,Xfennec | progress,5336,1178,6514,81.92,18.08,19681,4626,24307,80.97,19.03,918,114,1032,88.95,11.05
C,nodemcu | nodemcu-firmware,2210944,1173502,3384446,65.33,34.67,7864211,4824721,12688932,61.98,38.02,299124,125856,424980,70.39,29.61
C,jonas | tig,477998,26144,504142,94.81,5.19,1830654,103783,1934437,94.63,5.37,33113,2733,35846,92.38,7.62
C,sqlcipher | sqlcipher,1684015,887027,2571042,65.50,34.50,5443763,3537700,8981463,60.61,39.39,248976,92601,341577,72.89,27.11
C,davatorium | rofi,114040,40586,154626,73.75,26.25,450353,156482,606835,74.21,25.79,16965,6127,23092,73.47,26.53
C,allinurl | goaccess,116281,54919,171200,67.92,32.08,399176,208772,607948,65.66,34.34,20304,6168,26472,76.70,23.30
C,curl | curl,705982,396884,1102866,64.01,35.99,2818820,1611907,4430727,63.62,36.38,132875,43486,176361,75.34,24.66
C,huangz1990 | redis-3.0-annotated,443344,243191,686535,64.58,35.42,1481575,1102485,2584060,57.34,42.66,68108,28684,96792,70.37,29.63
C,machyve | xhyve,186393,86647,273040,68.27,31.73,660112,340033,1000145,66.00,34.00,38092,10181,48273,78.91,21.09
C,nonstriater | Learn-Algorithms,13516,3165,16681,81.03,18.97,38122,17114,55236,69.02,30.98,2500,558,3058,81.75,18.25
C,Tencent | xLua,1410631,403765,1814396,77.75,22.25,4049682,1455942,5505624,73.56,26.44,201282,25551,226833,88.74,11.26
C,twitter | twemproxy,77911,22223,100134,77.81,22.19,256967,84680,341647,75.21,24.79,14379,2462,16841,85.38,14.62
C,libgit2 | libgit2,1164967,307710,1472677,79.11,20.89,5040368,1206234,6246602,80.69,19.31,182668,38032,220700,82.77,17.23
C,stanfordnlp | GloVe,10463,2724,13187,79.34,20.66,33158,11775,44933,73.79,26.21,1140,185,1325,86.04,13.96
