Linguagem,Projeto,Quantidade de Contribuidores,URL
Java,iluwatar | java-design-patterns,145,https://github.com/iluwatar/java-design-patterns.git
Java,elastic | elasticsearch,363,https://github.com/elastic/elasticsearch.git
Java,ReactiveX | RxJava,241,https://github.com/ReactiveX/RxJava.git
Java,spring-projects | spring-boot,387,https://github.com/spring-projects/spring-boot.git
Java,kdn251 | interviews,31,https://github.com/kdn251/interviews.git
Java,square | retrofit,125,https://github.com/square/retrofit.git
Java,square | okhttp,182,https://github.com/square/okhttp.git
Java,google | guava,181,https://github.com/google/guava.git
Java,spring-projects | spring-framework,359,https://github.com/spring-projects/spring-framework.git
Java,PhilJay | MPAndroidChart,67,https://github.com/PhilJay/MPAndroidChart.git
Java,apache | incubator-dubbo,196,https://github.com/apache/incubator-dubbo.git
Java,bumptech | glide,96,https://github.com/bumptech/glide.git
Java,airbnb | lottie-android,70,https://github.com/airbnb/lottie-android.git
Java,JakeWharton | butterknife,83,https://github.com/JakeWharton/butterknife.git
Java,proxyee-down-org | proxyee-down,9,https://github.com/proxyee-down-org/proxyee-down.git
Java,Blankj | AndroidUtilCode,24,https://github.com/Blankj/AndroidUtilCode.git
Java,zxing | zxing,94,https://github.com/zxing/zxing.git
Java,greenrobot | EventBus,20,https://github.com/greenrobot/EventBus.git
Java,crossoverJie | JCSprout,24,https://github.com/crossoverJie/JCSprout.git
Java,netty | netty,353,https://github.com/netty/netty.git
Java,skylot | jadx,31,https://github.com/skylot/jadx.git
Java,ReactiveX | RxAndroid,59,https://github.com/ReactiveX/RxAndroid.git
Java,alibaba | fastjson,84,https://github.com/alibaba/fastjson.git
Java,scwang90 | SmartRefreshLayout,4,https://github.com/scwang90/SmartRefreshLayout.git
Java,Netflix | Hystrix,106,https://github.com/Netflix/Hystrix.git
Java,CymChad | BaseRecyclerViewAdapterHelper,34,https://github.com/CymChad/BaseRecyclerViewAdapterHelper.git
Java,square | picasso,91,https://github.com/square/picasso.git
Java,alibaba | druid,106,https://github.com/alibaba/druid.git
Java,nostra13 | Android-Universal-Image-Loader,35,https://github.com/nostra13/Android-Universal-Image-Loader.git
Java,facebook | fresco,151,https://github.com/facebook/fresco.git
Java,google | gson,90,https://github.com/google/gson.git
Java,libgdx | libgdx,345,https://github.com/libgdx/libgdx.git
Java,chrisbanes | PhotoView,34,https://github.com/chrisbanes/PhotoView.git
Java,NationalSecurityAgency | ghidra,40,https://github.com/NationalSecurityAgency/ghidra.git
Java,SeleniumHQ | selenium,394,https://github.com/SeleniumHQ/selenium.git
Java,ityouknow | spring-boot-examples,5,https://github.com/ityouknow/spring-boot-examples.git
Java,eugenp | tutorials,320,https://github.com/eugenp/tutorials.git
Java,ctripcorp | apollo,35,https://github.com/ctripcorp/apollo.git
Java,Tencent | tinker,20,https://github.com/Tencent/tinker.git
Java,android10 | Android-CleanArchitecture,9,https://github.com/android10/Android-CleanArchitecture.git
Java,shuzheng | zheng,8,https://github.com/shuzheng/zheng.git
Java,TheAlgorithms | Java,136,https://github.com/TheAlgorithms/Java.git
Java,google | ExoPlayer,127,https://github.com/google/ExoPlayer.git
Java,jenkinsci | jenkins,296,https://github.com/jenkinsci/jenkins.git
Java,lgvalle | Material-Animations,9,https://github.com/lgvalle/Material-Animations.git
Java,alibaba | arthas,51,https://github.com/alibaba/arthas.git
Java,hankcs | HanLP,26,https://github.com/hankcs/HanLP.git
Java,apache | kafka,344,https://github.com/apache/kafka.git
Java,bazelbuild | bazel,349,https://github.com/bazelbuild/bazel.git
Java,hdodenhof | CircleImageView,12,https://github.com/hdodenhof/CircleImageView.git
Java,macrozheng | mall,1,https://github.com/macrozheng/mall.git
Java,DrKLO | Telegram,12,https://github.com/DrKLO/Telegram.git
Java,winterbe | java8-tutorial,11,https://github.com/winterbe/java8-tutorial.git
Java,b3log | symphony,25,https://github.com/b3log/symphony.git
Java,signalapp | Signal-Android,181,https://github.com/signalapp/Signal-Android.git
Java,greenrobot | greenDAO,6,https://github.com/greenrobot/greenDAO.git
Java,react-native-community | lottie-react-native,53,https://github.com/react-native-community/lottie-react-native.git
Java,jfeinstein10 | SlidingMenu,21,https://github.com/jfeinstein10/SlidingMenu.git
Java,daimajia | AndroidSwipeLayout,16,https://github.com/daimajia/AndroidSwipeLayout.git
Java,orhanobut | logger,10,https://github.com/orhanobut/logger.git
Java,facebook | stetho,48,https://github.com/facebook/stetho.git
Java,apache | incubator-zipkin,78,https://github.com/apache/incubator-zipkin.git
Java,EnterpriseQualityCoding | FizzBuzzEnterpriseEdition,30,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition.git
Java,androidannotations | androidannotations,56,https://github.com/androidannotations/androidannotations.git
Java,deeplearning4j | deeplearning4j,250,https://github.com/deeplearning4j/deeplearning4j.git
Java,mybatis | mybatis-3,120,https://github.com/mybatis/mybatis-3.git
Java,daimajia | AndroidViewAnimations,17,https://github.com/daimajia/AndroidViewAnimations.git
Java,loopj | android-async-http,75,https://github.com/loopj/android-async-http.git
Java,realm | realm-java,80,https://github.com/realm/realm-java.git
Java,mikepenz | MaterialDrawer,87,https://github.com/mikepenz/MaterialDrawer.git
Java,LMAX-Exchange | disruptor,31,https://github.com/LMAX-Exchange/disruptor.git
Java,wix | react-native-navigation,279,https://github.com/wix/react-native-navigation.git
Java,JakeWharton | ViewPagerIndicator,15,https://github.com/JakeWharton/ViewPagerIndicator.git
Java,Konloch | bytecode-viewer,15,https://github.com/Konloch/bytecode-viewer.git
Java,Curzibn | Luban,9,https://github.com/Curzibn/Luban.git
Java,brettwooldridge | HikariCP,91,https://github.com/brettwooldridge/HikariCP.git
