Linguagem,Projetos,Linhas de Comentario,Linhas de Codigo
Java,apache | skywalking,34773,70480
Java,hongyangAndroid | okhttputils,270,2611
Java,mockito | mockito,19355,47151
Java,spring-projects | spring-boot,121736,277373
Java,square | retrofit,4826,20589
Java,bilibili | DanmakuFlameMaster,1339,10381
Java,wasabeef | glide-transformations,458,1408
Java,prestodb | presto,92638,637036
Java,didi | VirtualAPK,1345,7263
Java,Netflix | eureka,10401,34434
Java,liaohuqiu | android-Ultra-Pull-To-Refresh,642,5219
Java,JakeWharton | hugo,2,405
Java,roughike | BottomBar,477,3083
Java,hankcs | HanLP,22916,60957
Java,Netflix | Hystrix,17127,50510
Java,lzyzsd | JsBridge,93,589
Java,ctripcorp | apollo,3858,45368
Java,laobie | StatusBarUtil,326,1003
Java,eclipse-vertx | vert.x,28922,112282
Java,CymChad | BaseRecyclerViewAdapterHelper,2092,6001
Java,lgvalle | Material-Animations,54,992
Java,shuzheng | zheng,3447,30363
Java,crossoverJie | JCSprout,1215,3571
Java,alibaba | ARouter,1413,3703
Java,android-hacker | VirtualXposed,5059,44029
Java,ityouknow | spring-boot-examples,223,5852
Java,brettwooldridge | HikariCP,3475,12278
Java,facebook | buck,170045,724445
Java,forezp | SpringCloudLearning,265,1903
Java,junit-team | junit4,7381,30907
Java,JakeWharton | butterknife,686,12905
Java,cymcsg | UltimateRecyclerView,5024,16419
Java,apache | incubator-dubbo,44479,124829
Java,square | dagger,3168,8893
Java,libgdx | libgdx,70785,277879
Java,codecentric | spring-boot-admin,5204,15790
Java,google | guice,18661,65434
Java,Yalantis | uCrop,988,4735
Java,zhihu | Matisse,1129,3999
Java,LuckSiege | PictureSelector,3994,16130
Java,rzwitserloot | lombok,13134,65722
Java,JakeWharton | ActionBarSherlock,11115,25335
Java,81813780 | AVLoadingIndicatorView,171,2196
Java,alibaba | vlayout,3652,12675
Java,lingochamp | FileDownloader,5316,14944
Java,youth5201314 | banner,627,1966
Java,alibaba | canal,16112,66281
Java,JakeWharton | ViewPagerIndicator,360,3072
Java,googlesamples | easypermissions,411,2357
Java,CarGuo | GSYVideoPlayer,5806,27461
Java,H07000223 | FlycoTabLayout,207,2783
Java,code4craft | webmagic,2421,12810
Java,DrKLO | Telegram,58042,422388
Java,aosp-mirror | platform_frameworks_base,820075,2402716
Java,dropwizard | dropwizard,8280,53732
Java,signalapp | Signal-Android,7402,98625
Java,googlesamples | android-testing,1657,2332
Java,loopj | android-async-http,3446,7388
Java,Netflix | zuul,6729,18072
Java,daniulive | SmarterStreaming,2351,8488
Java,material-components | material-components-android,17540,51378
Java,xuxueli | xxl-job,1634,6141
Java,alibaba | Sentinel,20205,41531
Java,wasabeef | recyclerview-animators,472,1533
Java,nostra13 | Android-Universal-Image-Loader,5246,7218
Java,Netflix | SimianArmy,8835,19286
Java,GoogleContainerTools | jib,12636,32002
Java,java-decompiler | jd-gui,2443,14620
Java,apache | flink,301217,753239
Java,facebook | stetho,3886,18476
Java,alibaba | druid,59021,300842
Java,skylot | jadx,2167,56142
Java,proxyee-down-org | proxyee-down,276,3909
Java,alibaba | fastjson,13266,164182
Java,JessYanCoding | AndroidAutoSize,1635,1606
Java,GcsSloop | AndroidNote,85,368
Java,pagehelper | Mybatis-PageHelper,4248,6363
Java,Blankj | AndroidUtilCode,13924,22719
Java,OpenRefine | OpenRefine,30452,68413
Java,crazycodeboy | TakePhoto,773,2531
Java,neo4j | neo4j,174328,620333
Java,dropwizard | metrics,3362,19248
Java,zxing | zxing,16536,43814
Java,medcl | elasticsearch-analysis-ik,1317,2124
Java,Konloch | bytecode-viewer,4814,19462
Java,umano | AndroidSlidingUpPanel,916,1924
Java,square | picasso,1664,9545
Java,deeplearning4j | deeplearning4j,218285,526757
Java,androidannotations | androidannotations,22429,38155
Java,google | physical-web,3016,7217
Java,permissions-dispatcher | PermissionsDispatcher,263,7486
Java,alibaba | arthas,7228,23180
Java,google | tink,14460,39779
Java,koral-- | android-gif-drawable,1546,3319
Java,navasmdc | MaterialDesignLibrary,247,2882
Java,wix | react-native-navigation,60,18414
Java,dbeaver | dbeaver,82189,332482
Java,jfeinstein10 | SlidingMenu,1026,3212
Java,mybatis | mybatis-3,22424,56744
Java,SeleniumHQ | selenium,36255,98016
Java,airbnb | lottie-android,1491,12746
Java,naver | pinpoint,96757,288651
Java,vondear | RxTool,13726,44044
Java,didi | DoraemonKit,2658,21475
Java,android10 | Android-CleanArchitecture,1714,2777
Java,orhanobut | logger,271,814
Java,LitePalFramework | LitePal,8731,12118
Java,macrozheng | mall,2302,62077
Java,Tencent | VasSonic,3078,7048
Java,hackware1993 | MagicIndicator,278,4333
Java,daimajia | AndroidSwipeLayout,209,2667
Java,apache | hadoop,577846,1769889
Java,apache | incubator-shardingsphere,40719,76173
Java,apache | incubator-druid,103719,524562
Java,lipangit | JiaoZiVideoPlayer,267,4961
Java,MyCATApache | Mycat-Server,30126,98575
Java,jhy | jsoup,4547,20053
Java,arduino | Arduino,10044,25356
Java,react-native-community | lottie-react-native,35,423
Java,ChrisRM | material-theme-jetbrains,10618,18475
Java,react-native-community | react-native-camera,911,9600
Java,AppIntro | AppIntro,475,1915
Java,bazelbuild | bazel,232153,764226
Java,chrisbanes | cheesesquare,63,435
Java,chrisbanes | Android-PullToRefresh,1535,3583
Java,JessYanCoding | MVPArms,4829,6946
Java,lecho | hellocharts-android,1844,9848
Java,LMAX-Exchange | disruptor,5063,13269
Java,b3log | solo,12721,18108
Java,xetorthio | jedis,5012,30861
Java,seata | seata,17911,26438
Java,ogaclejapan | SmartTabLayout,673,1920
Java,google | guava,135154,387390
Java,greenrobot | greenDAO,4928,19661
Java,bumptech | glide,13010,68319
Java,square | okhttp,6274,42258
Java,facebook | fresco,23023,81923
Java,elastic | elasticsearch,300407,1386902
Java,HannahMitt | HomeMirror,607,1490
Java,jeasonlzy | okhttp-OkGo,5848,14073
Java,PhilJay | MPAndroidChart,8932,24376
Java,netty | netty,96285,267136
Java,linlinjava | litemall,38836,52850
Java,daimajia | AndroidViewAnimations,1464,1521
Java,google | auto,7117,25681
Java,kaushikgopal | RxJava-Android-Samples,187,3334
Java,pockethub | PocketHub,5281,9533
Java,greenrobot | EventBus,1798,5333
Java,jenkinsci | jenkins,78100,156894
Java,Tencent | QMUI_Android,8809,39563
Java,DroidPluginTeam | DroidPlugin,6329,18174
Java,ReactiveX | RxJava,72083,278931
Java,scwang90 | SmartRefreshLayout,4683,18371
Java,EnterpriseQualityCoding | FizzBuzzEnterpriseEdition,3,1387
Java,apache | rocketmq,19391,86268
Java,spring-projects | spring-framework,332913,643797
Java,Curzibn | Luban,231,1017
Java,chrisjenx | Calligraphy,569,1031
Java,TheAlgorithms | Java,3785,9087
Java,alibaba | atlas,140813,142311
Java,google | gson,8764,25179
Java,chrisbanes | PhotoView,360,1595
Java,Tencent | tinker,8890,31853
Java,kdn251 | interviews,4446,7743
Java,apache | zookeeper,33971,96592
Java,google | ExoPlayer,48934,131045
Java,geeeeeeeeek | WeChatLuckyMoney,88,1021
Java,florent37 | MaterialViewPager,381,1619
Java,perwendel | spark,6471,11028
Java,qiurunze123 | miaosha,3270,10420
Java,NationalSecurityAgency | ghidra,434832,1243169
Java,google | agera,4372,14003
Java,koush | AndroidAsync,3827,20202
Java,iBotPeaches | Apktool,3024,12153
Java,eugenp | tutorials,21013,328833
Java,hongyangAndroid | AndroidAutoLayout,265,3134
Java,mikepenz | MaterialDrawer,3318,8761
Java,realm | realm-java,28762,95657
Java,clojure | clojure,12092,41022
Java,apache | incubator-zipkin,10009,38694
Java,winterbe | java8-tutorial,335,2533
Java,Bearded-Hen | Android-Bootstrap,920,12221
Java,oracle | graal,313651,773194
Java,ReactiveX | RxAndroid,226,1293
Java,Bigkoo | Android-PickerView,948,4215
Java,trello | RxLifecycle,920,4104
Java,mission-peace | interview,5478,27297
Java,iluwatar | java-design-patterns,37329,29414
Java,pedant | sweet-alert-dialog,29,920
Java,nathanmarz | storm,11847,46306
Java,apache | kafka,78631,252431
Java,YoKeyword | Fragmentation,1608,9077
Java,redisson | redisson,47002,123866
Java,b3log | symphony,18274,30906
Java,tbruyelle | RxPermissions,113,1035
Java,stanfordnlp | CoreNLP,120205,582461
Java,hdodenhof | CircleImageView,15,343
Java,square | javapoet,1107,8733
Java,ksoichiro | Android-ObservableScrollView,2935,11646
Java,dianping | cat,24324,97072
