Linguagem,Projeto,Numero de Tokens de Codigo Fonte (Excluindo Tokens de Comentario),Numero de Tokens apenas dos Comentarios,Numero Total de Tokens do Projeto,NTCF/NTTP (%),NTC/NTTP (%),Numero de Caracteres de Codigo Fonte (Excluindo Caracteres de Comentario),Numero de Caracteres apenas dos Comentarios,Numero Total de Carateres do Projeto,NCCF/NTCP (%),NCC/NTCP (%)
Java,81813780 | AVLoadingIndicatorView,16022,841,16863,95.01,4.99,61523,3347,64870,94.84,5.16
Java,airbnb | lottie-android,89229,11535,100764,88.55,11.45,378332,45826,424158,89.20,10.80
Java,alibaba | ARouter,27972,7982,35954,77.80,22.20,118976,30384,149360,79.66,20.34
Java,alibaba | arthas,165102,42285,207387,79.61,20.39,650360,174390,824750,78.86,21.14
Java,alibaba | atlas,1008487,1232160,2240647,45.01,54.99,4181615,5043219,9224834,45.33,54.67
Java,alibaba | canal,470306,81683,551989,85.20,14.80,1971333,362982,2334315,84.45,15.55
Java,alibaba | druid,2097279,478555,2575834,81.42,18.58,9653060,2054229,11707289,82.45,17.55
Java,alibaba | fastjson,1109024,77282,1186306,93.49,6.51,4341673,313124,4654797,93.27,6.73
Java,alibaba | Sentinel,307962,138003,445965,69.06,30.94,1312472,563599,1876071,69.96,30.04
Java,alibaba | vlayout,92229,28438,120667,76.43,23.57,399880,111606,511486,78.18,21.82
Java,android10 | Android-CleanArchitecture,20006,12233,32239,62.06,37.94,94571,50451,145022,65.21,34.79
Java,androidannotations | androidannotations,279803,164683,444486,62.95,37.05,1444092,674522,2118614,68.16,31.84
Java,android-hacker | VirtualXposed,311392,29051,340443,91.47,8.53,1300198,115316,1415514,91.85,8.15
Java,aosp-mirror | platform_frameworks_base,14249768,6701977,20951745,68.01,31.99,63232288,26954900,90187188,70.11,29.89
Java,apache | flink,5908294,2677262,8585556,68.82,31.18,26737050,10748003,37485053,71.33,28.67
Java,apache | hadoop,12796443,4396180,17192623,74.43,25.57,57383541,18469628,75853169,75.65,24.35
Java,apache | incubator-druid,3307138,876203,4183341,79.05,20.95,14928624,3796468,18725092,79.73,20.27
Java,apache | incubator-dubbo,965332,348020,1313352,73.50,26.50,3934851,1493064,5427915,72.49,27.51
Java,apache | incubator-shardingsphere,664561,306122,970683,68.46,31.54,3266187,1335086,4601273,70.98,29.02
Java,apache | incubator-zipkin,294446,98147,392593,75.00,25.00,1236303,416964,1653267,74.78,25.22
Java,apache | kafka,2054287,757233,2811520,73.07,26.93,9287872,3132418,12420290,74.78,25.22
Java,apache | rocketmq,629258,163870,793128,79.34,20.66,2905966,714114,3620080,80.27,19.73
Java,apache | skywalking,600107,277410,877517,68.39,31.61,2728257,1213881,3942138,69.21,30.79
Java,apache | zookeeper,693363,261265,954628,72.63,27.37,2874729,1107557,3982286,72.19,27.81
Java,AppIntro | AppIntro,12753,3265,16018,79.62,20.38,62107,13235,75342,82.43,17.57
Java,arduino | Arduino,182763,90685,273448,66.84,33.16,768897,364512,1133409,67.84,32.16
