Linguagem,Projeto,Quantidade de Contribuidores,URL
JavaScript,freeCodeCamp | freeCodeCamp,420,https://github.com/freeCodeCamp/freeCodeCamp.git
JavaScript,vuejs | vue,274,https://github.com/vuejs/vue.git
JavaScript,twbs | bootstrap,372,https://github.com/twbs/bootstrap.git
JavaScript,facebook | react,441,https://github.com/facebook/react.git
JavaScript,airbnb | javascript,416,https://github.com/airbnb/javascript.git
JavaScript,facebook | react-native,359,https://github.com/facebook/react-native.git
JavaScript,facebook | create-react-app,479,https://github.com/facebook/create-react-app.git
JavaScript,nodejs | node,459,https://github.com/nodejs/node.git
JavaScript,FortAwesome | Font-Awesome,5,https://github.com/FortAwesome/Font-Awesome.git
JavaScript,angular | angular.js,423,https://github.com/angular/angular.js.git
JavaScript,axios | axios,159,https://github.com/axios/axios.git
JavaScript,jquery | jquery,274,https://github.com/jquery/jquery.git
JavaScript,mrdoob | three.js,370,https://github.com/mrdoob/three.js.git
JavaScript,GoogleChrome | puppeteer,203,https://github.com/GoogleChrome/puppeteer.git
JavaScript,atom | atom,349,https://github.com/atom/atom.git
JavaScript,webpack | webpack,422,https://github.com/webpack/webpack.git
JavaScript,trekhleb | javascript-algorithms,90,https://github.com/trekhleb/javascript-algorithms.git
JavaScript,reduxjs | redux,449,https://github.com/reduxjs/redux.git
JavaScript,mui-org | material-ui,437,https://github.com/mui-org/material-ui.git
JavaScript,socketio | socket.io,154,https://github.com/socketio/socket.io.git
JavaScript,hakimel | reveal.js,245,https://github.com/hakimel/reveal.js.git
JavaScript,Semantic-Org | Semantic-UI,190,https://github.com/Semantic-Org/Semantic-UI.git
JavaScript,30-seconds | 30-seconds-of-code,164,https://github.com/30-seconds/30-seconds-of-code.git
JavaScript,expressjs | express,220,https://github.com/expressjs/express.git
JavaScript,chartjs | Chart.js,298,https://github.com/chartjs/Chart.js.git
JavaScript,h5bp | html5-boilerplate,231,https://github.com/h5bp/html5-boilerplate.git
JavaScript,meteor | meteor,388,https://github.com/meteor/meteor.git
JavaScript,moment | moment,420,https://github.com/moment/moment.git
JavaScript,resume | resume.github.com,48,https://github.com/resume/resume.github.com.git
JavaScript,typicode | json-server,61,https://github.com/typicode/json-server.git
JavaScript,lodash | lodash,280,https://github.com/lodash/lodash.git
JavaScript,adam-p | markdown-here,12,https://github.com/adam-p/markdown-here.git
JavaScript,storybooks | storybook,382,https://github.com/storybooks/storybook.git
JavaScript,zeit | next.js,473,https://github.com/zeit/next.js.git
JavaScript,ReactTraining | react-router,431,https://github.com/ReactTraining/react-router.git
JavaScript,Dogfalo | materialize,252,https://github.com/Dogfalo/materialize.git
JavaScript,yarnpkg | yarn,470,https://github.com/yarnpkg/yarn.git
JavaScript,NARKOZ | hacker-scripts,40,https://github.com/NARKOZ/hacker-scripts.git
JavaScript,impress | impress.js,63,https://github.com/impress/impress.js.git
JavaScript,gatsbyjs | gatsby,463,https://github.com/gatsbyjs/gatsby.git
JavaScript,thedaviddias | Front-End-Checklist,82,https://github.com/thedaviddias/Front-End-Checklist.git
JavaScript,apache | incubator-echarts,70,https://github.com/apache/incubator-echarts.git
JavaScript,babel | babel,429,https://github.com/babel/babel.git
JavaScript,prettier | prettier,411,https://github.com/prettier/prettier.git
JavaScript,parcel-bundler | parcel,204,https://github.com/parcel-bundler/parcel.git
JavaScript,gulpjs | gulp,215,https://github.com/gulpjs/gulp.git
JavaScript,juliangarnier | anime,27,https://github.com/juliangarnier/anime.git
JavaScript,blueimp | jQuery-File-Upload,83,https://github.com/blueimp/jQuery-File-Upload.git
JavaScript,TryGhost | Ghost,314,https://github.com/TryGhost/Ghost.git
JavaScript,adobe | brackets,333,https://github.com/adobe/brackets.git
JavaScript,serverless | serverless,383,https://github.com/serverless/serverless.git
JavaScript,Unitech | pm2,209,https://github.com/Unitech/pm2.git
JavaScript,zeit | hyper,216,https://github.com/zeit/hyper.git
JavaScript,jaywcjlove | awesome-mac,227,https://github.com/jaywcjlove/awesome-mac.git
JavaScript,jashkenas | backbone,291,https://github.com/jashkenas/backbone.git
JavaScript,yangshun | tech-interview-handbook,56,https://github.com/yangshun/tech-interview-handbook.git
JavaScript,immutable-js | immutable-js,188,https://github.com/immutable-js/immutable-js.git
JavaScript,lord | slate,99,https://github.com/lord/slate.git
JavaScript,sahat | hackathon-starter,160,https://github.com/sahat/hackathon-starter.git
JavaScript,mozilla | pdf.js,284,https://github.com/mozilla/pdf.js.git
JavaScript,alvarotrigo | fullPage.js,115,https://github.com/alvarotrigo/fullPage.js.git
JavaScript,hexojs | hexo,130,https://github.com/hexojs/hexo.git
JavaScript,koajs | koa,169,https://github.com/koajs/koa.git
JavaScript,zenorocha | clipboard.js,48,https://github.com/zenorocha/clipboard.js.git
JavaScript,caolan | async,220,https://github.com/caolan/async.git
JavaScript,tastejs | todomvc,300,https://github.com/tastejs/todomvc.git
JavaScript,facebook | jest,440,https://github.com/facebook/jest.git
JavaScript,videojs | video.js,339,https://github.com/videojs/video.js.git
JavaScript,Leaflet | Leaflet,382,https://github.com/Leaflet/Leaflet.git
JavaScript,photonstorm | phaser,406,https://github.com/photonstorm/phaser.git
JavaScript,jashkenas | underscore,258,https://github.com/jashkenas/underscore.git
JavaScript,nylas | nylas-mail,88,https://github.com/nylas/nylas-mail.git
JavaScript,apache | incubator-superset,364,https://github.com/apache/incubator-superset.git
JavaScript,kenwheeler | slick,133,https://github.com/kenwheeler/slick.git
JavaScript,Modernizr | Modernizr,245,https://github.com/Modernizr/Modernizr.git
JavaScript,select2 | select2,410,https://github.com/select2/select2.git
JavaScript,styled-components | styled-components,237,https://github.com/styled-components/styled-components.git
JavaScript,knsv | mermaid,70,https://github.com/knsv/mermaid.git
JavaScript,pixijs | pixi.js,280,https://github.com/pixijs/pixi.js.git
JavaScript,quilljs | quill,113,https://github.com/quilljs/quill.git
JavaScript,request | request,288,https://github.com/request/request.git
JavaScript,developit | preact,183,https://github.com/developit/preact.git
JavaScript,RocketChat | Rocket.Chat,381,https://github.com/RocketChat/Rocket.Chat.git
JavaScript,react-boilerplate | react-boilerplate,195,https://github.com/react-boilerplate/react-boilerplate.git
JavaScript,github | fetch,50,https://github.com/github/fetch.git
JavaScript,aosabook | 500lines,61,https://github.com/aosabook/500lines.git
JavaScript,iamkun | dayjs,139,https://github.com/iamkun/dayjs.git
JavaScript,emberjs | ember.js,364,https://github.com/emberjs/ember.js.git
JavaScript,postcss | postcss,278,https://github.com/postcss/postcss.git
JavaScript,GitbookIO | gitbook,85,https://github.com/GitbookIO/gitbook.git
JavaScript,vuejs | vue-cli,254,https://github.com/vuejs/vue-cli.git
JavaScript,balderdashy | sails,212,https://github.com/balderdashy/sails.git
JavaScript,vuejs | vuex,245,https://github.com/vuejs/vuex.git
JavaScript,hammerjs | hammer.js,82,https://github.com/hammerjs/hammer.js.git
JavaScript,nuxt | nuxt.js,191,https://github.com/nuxt/nuxt.js.git
JavaScript,nolimits4web | swiper,118,https://github.com/nolimits4web/swiper.git
JavaScript,Reactive-Extensions | RxJS,264,https://github.com/Reactive-Extensions/RxJS.git
JavaScript,ajaxorg | ace,344,https://github.com/ajaxorg/ace.git
JavaScript,dawnlabs | carbon,99,https://github.com/dawnlabs/carbon.git
JavaScript,jiahaog | nativefier,83,https://github.com/jiahaog/nativefier.git
JavaScript,webtorrent | webtorrent,116,https://github.com/webtorrent/webtorrent.git
JavaScript,cheeriojs | cheerio,96,https://github.com/cheeriojs/cheerio.git
JavaScript,mobxjs | mobx,155,https://github.com/mobxjs/mobx.git
JavaScript,markedjs | marked,98,https://github.com/markedjs/marked.git
JavaScript,kriasoft | react-starter-kit,134,https://github.com/kriasoft/react-starter-kit.git
JavaScript,VincentGarreau | particles.js,12,https://github.com/VincentGarreau/particles.js.git
JavaScript,bevacqua | dragula,33,https://github.com/bevacqua/dragula.git
JavaScript,transloadit | uppy,107,https://github.com/transloadit/uppy.git
JavaScript,rstacruz | nprogress,31,https://github.com/rstacruz/nprogress.git
JavaScript,Marak | faker.js,152,https://github.com/Marak/faker.js.git
JavaScript,vuetifyjs | vuetify,278,https://github.com/vuetifyjs/vuetify.git
JavaScript,Automattic | mongoose,402,https://github.com/Automattic/mongoose.git
JavaScript,dimsemenov | PhotoSwipe,46,https://github.com/dimsemenov/PhotoSwipe.git
JavaScript,sequelize | sequelize,402,https://github.com/sequelize/sequelize.git
JavaScript,ant-design | ant-design-pro,202,https://github.com/ant-design/ant-design-pro.git
JavaScript,petkaantonov | bluebird,205,https://github.com/petkaantonov/bluebird.git
JavaScript,pugjs | pug,208,https://github.com/pugjs/pug.git
JavaScript,NervJS | taro,169,https://github.com/NervJS/taro.git
JavaScript,remy | nodemon,125,https://github.com/remy/nodemon.git
JavaScript,tabler | tabler,36,https://github.com/tabler/tabler.git
JavaScript,sentsin | layui,15,https://github.com/sentsin/layui.git
JavaScript,mochajs | mocha,413,https://github.com/mochajs/mocha.git
JavaScript,redux-saga | redux-saga,277,https://github.com/redux-saga/redux-saga.git
JavaScript,date-fns | date-fns,130,https://github.com/date-fns/date-fns.git
JavaScript,scrollreveal | scrollreveal,8,https://github.com/scrollreveal/scrollreveal.git
JavaScript,Tencent | wepy,113,https://github.com/Tencent/wepy.git
JavaScript,codemirror | CodeMirror,416,https://github.com/codemirror/CodeMirror.git
JavaScript,segmentio | nightmare,113,https://github.com/segmentio/nightmare.git
JavaScript,airbnb | enzyme,324,https://github.com/airbnb/enzyme.git
JavaScript,Meituan-Dianping | mpvue,135,https://github.com/Meituan-Dianping/mpvue.git
JavaScript,ovity | octotree,57,https://github.com/ovity/octotree.git
JavaScript,postcss | autoprefixer,153,https://github.com/postcss/autoprefixer.git
JavaScript,jorgebucaran | hyperapp,68,https://github.com/jorgebucaran/hyperapp.git
JavaScript,Popmotion | popmotion,52,https://github.com/Popmotion/popmotion.git
JavaScript,GoogleChrome | lighthouse,172,https://github.com/GoogleChrome/lighthouse.git
JavaScript,reduxjs | react-redux,148,https://github.com/reduxjs/react-redux.git
JavaScript,niklasvh | html2canvas,32,https://github.com/niklasvh/html2canvas.git
JavaScript,chenglou | react-motion,69,https://github.com/chenglou/react-motion.git
