Linguagem,Projeto,Numero de Tokens de Codigo Fonte (Excluindo Tokens de Comentario),Numero de Tokens apenas dos Comentarios,Numero Total de Tokens do Projeto,NTCF/NTTP (%),NTC/NTTP (%),Numero de Caracteres de Codigo Fonte (Excluindo Caracteres de Comentario),Numero de Caracteres apenas dos Comentarios,Numero Total de Carateres do Projeto,NCCF/NTCP (%),NCC/NTCP (%)
JavaScript,30-seconds | 30-seconds-of-code,159383,1167,160550,99.27,0.73,484906,4947,489853,98.99,1.01
JavaScript,adam-p | markdown-here,138020,41284,179304,76.98,23.02,648454,154463,802917,80.76,19.24
JavaScript,adobe | brackets,2422091,839423,3261514,74.26,25.74,9586944,3400542,12987486,73.82,26.18
JavaScript,airbnb | enzyme,41907,13072,54979,76.22,23.78,174172,54354,228526,76.22,23.78
JavaScript,airbnb | javascript,6739,5793,12532,53.77,46.23,34139,44573,78712,43.37,56.63
JavaScript,airbnb | lottie-web,1869798,33997,1903795,98.21,1.79,5074760,131907,5206667,97.47,2.53
JavaScript,ajaxorg | ace,1818640,1043528,2862168,63.54,36.46,6242283,3399722,9642005,64.74,35.26
JavaScript,algorithm-visualizer | algorithm-visualizer,12147,50,12197,99.59,0.41,44834,223,45057,99.51,0.49
JavaScript,alsotang | node-lessons,28882,8789,37671,76.67,23.33,88857,28791,117648,75.53,24.47
JavaScript,alvarotrigo | fullPage.js,164893,23235,188128,87.65,12.35,570062,371897,941959,60.52,39.48
JavaScript,angular | angular.js,1449529,296884,1746413,83.00,17.00,6085565,1128317,7213882,84.36,15.64
JavaScript,angular | material,368651,135142,503793,73.18,26.82,1665672,525982,2191654,76.00,24.00
JavaScript,angular-ui | bootstrap,275594,11080,286674,96.13,3.87,967448,45422,1012870,95.52,4.48
JavaScript,ant-design | ant-design-pro,94601,2215,96816,97.71,2.29,414110,12152,426262,97.15,2.85
JavaScript,aosabook | 500lines,425876,422173,848049,50.22,49.78,1424994,1579542,3004536,47.43,52.57
JavaScript,apache | incubator-echarts,3922260,1060916,4983176,78.71,21.29,13028314,4132236,17160550,75.92,24.08
JavaScript,apache | incubator-superset,176094,92464,268558,65.57,34.43,734336,403288,1137624,64.55,35.45
JavaScript,atlassian | react-beautiful-dnd,317479,40426,357905,88.70,11.30,1639181,173909,1813090,90.41,9.59
JavaScript,atom | atom,628377,87999,716376,87.72,12.28,2865707,337774,3203481,89.46,10.54
JavaScript,Automattic | mongoose,668748,108442,777190,86.05,13.95,2035353,401948,2437301,83.51,16.49
JavaScript,avajs | ava,102098,5463,107561,94.92,5.08,363013,25556,388569,93.42,6.58
JavaScript,axios | axios,44048,7633,51681,85.23,14.77,160326,31444,191770,83.60,16.40
JavaScript,balderdashy | sails,175146,72651,247797,70.68,29.32,694653,301784,996437,69.71,30.29
JavaScript,balena-io | etcher,60741,30976,91717,66.23,33.77,265713,124778,390491,68.05,31.95
JavaScript,benweet | stackedit,102006,11069,113075,90.21,9.79,406324,48685,455009,89.30,10.70
JavaScript,bevacqua | dragula,25171,606,25777,97.65,2.35,79342,52874,132216,60.01,39.99
JavaScript,bilibili | flv.js,45292,9967,55259,81.96,18.04,167422,43177,210599,79.50,20.50
JavaScript,blueimp | jQuery-File-Upload,31487,6985,38472,81.84,18.16,104069,29757,133826,77.76,22.24
JavaScript,bower | bower,152242,14589,166831,91.26,8.74,554981,60076,615057,90.23,9.77
JavaScript,bvaughn | react-virtualized,120653,15010,135663,88.94,11.06,515409,64008,579417,88.95,11.05
JavaScript,caolan | async,122661,52899,175560,69.87,30.13,341328,188354,529682,64.44,35.56
JavaScript,chartjs | Chart.js,219280,25313,244593,89.65,10.35,693954,102429,796383,87.14,12.86
JavaScript,cheeriojs | cheerio,56955,2478,59433,95.83,4.17,185506,9116,194622,95.32,4.68
JavaScript,chenglou | react-motion,20409,3102,23511,86.81,13.19,65149,12264,77413,84.16,15.84
