Linguagems,Diferenca Percentual
C#-PHP,13.24
C#-Java,1.11
C#-Visual Basic,28.37
C#-C,19.31
C#-JavaScript,38.50
PHP-C#,13.24
PHP-Java,12.72
PHP-Visual Basic,37.71
PHP-C,8.92
PHP-JavaScript,46.33
Java-C#,1.11
Java-PHP,12.72
Java-Visual Basic,32.53
Java-C,19.09
Java-JavaScript,43.11
Visual Basic-C#,28.37
Visual Basic-PHP,37.71
Visual Basic-Java,32.53
Visual Basic-C,40.64
Visual Basic-JavaScript,19.09
C-C#,19.31
C-PHP,8.92
C-Java,19.09
C-Visual Basic,40.64
C-JavaScript,48.29
JavaScript-C#,38.50
JavaScript-PHP,46.33
JavaScript-Java,43.11
JavaScript-Visual Basic,19.09
JavaScript-C,48.29
