Linguagems,Diferenca Percentual
C#-PHP,47.23
C#-Java,28.69
C#-Visual Basic,6.79
C#-C,0.85
C#-JavaScript,26.17
PHP-C#,47.23
PHP-Java,35.41
PHP-Visual Basic,48.75
PHP-C,49.58
PHP-JavaScript,57.61
Java-C#,28.69
Java-PHP,35.41
Java-Visual Basic,27.49
Java-C,30.63
Java-JavaScript,46.73
Visual Basic-C#,6.79
Visual Basic-PHP,48.75
Visual Basic-Java,27.49
Visual Basic-C,6.73
Visual Basic-JavaScript,32.03
C-C#,0.85
C-PHP,49.58
C-Java,30.63
C-Visual Basic,6.73
C-JavaScript,28.02
JavaScript-C#,26.17
JavaScript-PHP,57.61
JavaScript-Java,46.73
JavaScript-Visual Basic,32.03
JavaScript-C,28.02
