Linguagem,Projeto,Quantidade de Contribuidores,URL
PHP,laravel | laravel,397,https://github.com/laravel/laravel.git
PHP,symfony | symfony,382,https://github.com/symfony/symfony.git
PHP,fzaninotto | Faker,378,https://github.com/fzaninotto/Faker.git
PHP,composer | composer,398,https://github.com/composer/composer.git
PHP,danielmiessler | SecLists,81,https://github.com/danielmiessler/SecLists.git
PHP,bcit-ci | CodeIgniter,356,https://github.com/bcit-ci/CodeIgniter.git
PHP,domnikl | DesignPatternsPHP,140,https://github.com/domnikl/DesignPatternsPHP.git
PHP,laravel | framework,403,https://github.com/laravel/framework.git
PHP,guzzle | guzzle,294,https://github.com/guzzle/guzzle.git
PHP,Seldaek | monolog,323,https://github.com/Seldaek/monolog.git
PHP,sebastianbergmann | phpunit,358,https://github.com/sebastianbergmann/phpunit.git
PHP,PHPMailer | PHPMailer,168,https://github.com/PHPMailer/PHPMailer.git
PHP,yiisoft | yii2,359,https://github.com/yiisoft/yii2.git
PHP,WordPress | WordPress,51,https://github.com/WordPress/WordPress.git
PHP,briannesbitt | Carbon,197,https://github.com/briannesbitt/Carbon.git
PHP,matomo-org | matomo,224,https://github.com/matomo-org/matomo.git
PHP,PHPOffice | PHPExcel,62,https://github.com/PHPOffice/PHPExcel.git
PHP,getgrav | grav,147,https://github.com/getgrav/grav.git
PHP,erusev | parsedown,39,https://github.com/erusev/parsedown.git
PHP,phacility | phabricator,199,https://github.com/phacility/phabricator.git
PHP,nikic | PHP-Parser,82,https://github.com/nikic/PHP-Parser.git
PHP,phanan | koel,45,https://github.com/phanan/koel.git
PHP,filp | whoops,99,https://github.com/filp/whoops.git
PHP,roots | sage,193,https://github.com/roots/sage.git
PHP,slimphp | Slim,202,https://github.com/slimphp/Slim.git
PHP,CachetHQ | Cachet,160,https://github.com/CachetHQ/Cachet.git
PHP,phalcon | cphalcon,226,https://github.com/phalcon/cphalcon.git
PHP,thephpleague | flysystem,170,https://github.com/thephpleague/flysystem.git
PHP,barryvdh | laravel-debugbar,95,https://github.com/barryvdh/laravel-debugbar.git
PHP,vlucas | phpdotenv,47,https://github.com/vlucas/phpdotenv.git
PHP,Intervention | image,72,https://github.com/Intervention/image.git
PHP,ramsey | uuid,59,https://github.com/ramsey/uuid.git
PHP,serbanghita | Mobile-Detect,84,https://github.com/serbanghita/Mobile-Detect.git
PHP,octobercms | october,N/A,https://github.com/octobercms/october.git
PHP,dingo | api,96,https://github.com/dingo/api.git
PHP,barryvdh | laravel-ide-helper,107,https://github.com/barryvdh/laravel-ide-helper.git
PHP,the-control-group | voyager,288,https://github.com/the-control-group/voyager.git
PHP,overtrue | wechat,97,https://github.com/overtrue/wechat.git
PHP,cakephp | cakephp,370,https://github.com/cakephp/cakephp.git
