Linguagem,Projetos,Linhas de Comentario,Linhas de Codigo
PHP,sebastianbergmann | resource-operations,41,2266
PHP,symfony | process,1237,3043
PHP,egulias | EmailValidator,221,2254
PHP,guzzle | guzzle,2200,8526
PHP,sebastianbergmann | diff,955,3989
PHP,symfony | http-foundation,6792,14893
PHP,PHPOffice | PhpSpreadsheet,32526,90308
PHP,joomla | joomla-cms,254780,410765
PHP,Behat | Behat,18065,18366
PHP,ivanakimov | hashids.php,505,620
PHP,filp | whoops,1950,3562
PHP,tymondesigns | jwt-auth,3969,5186
PHP,PHPOffice | PHPWord,25578,32290
PHP,composer | composer,13736,50693
PHP,ramsey | uuid,3201,4895
PHP,johnlui | Learn-Laravel-5,1164,1122
PHP,sebastianbergmann | global-state,290,812
PHP,sebastianbergmann | php-token-stream,517,1983
PHP,Respect | Validation,13146,26281
PHP,php-pm | php-pm,1121,2421
PHP,woocommerce | woocommerce,71997,161952
PHP,phan | phan,37282,131108
PHP,Codeception | Codeception,17830,42820
PHP,spatie | laravel-backup,369,4051
PHP,phpseclib | phpseclib,21709,35212
PHP,invoiceninja | invoiceninja,17701,157006
PHP,electerious | Lychee,969,2564
PHP,owncloud | core,133222,228351
PHP,maximebf | php-debugbar,2698,5584
PHP,WP-API | WP-API,2640,14340
PHP,phalcon | cphalcon,88892,104553
PHP,jenssegers | laravel-mongodb,1885,6122
PHP,Intervention | image,2975,11419
PHP,roots | sage,243,313
PHP,tennc | webshell,12140,245641
PHP,danielmiessler | SecLists,388,849
PHP,symfony | polyfill-mbstring,72,2839
PHP,rmccue | Requests,3475,5426
PHP,JakubOnderka | PHP-Console-Highlighter,63,431
PHP,monicahq | monica,15800,75728
PHP,vlucas | phpdotenv,1072,1556
PHP,drupal | drupal,395390,678172
PHP,doctrine | instantiator,250,579
PHP,symfony | console,5401,16053
PHP,barryvdh | laravel-debugbar,1128,3112
PHP,elastic | elasticsearch-php,7199,11591
PHP,thephpleague | oauth2-server,2253,6472
PHP,Seldaek | monolog,6163,14513
PHP,anchorcms | anchor-cms,5410,12708
PHP,nikic | PHP-Parser,4042,18226
PHP,paragonie | random_compat,779,1124
PHP,nemoTyrant | manong,84,387
PHP,chriskacerguis | codeigniter-restserver,1886,2597
PHP,ethicalhack3r | DVWA,9675,19587
PHP,webmozart | assert,238,1471
PHP,php-fig | log,397,307
PHP,briannesbitt | Carbon,112192,145502
PHP,picocms | Pico,1966,1531
PHP,theseer | tokenizer,125,393
PHP,ratchetphp | Ratchet,936,2947
PHP,slimphp | Slim,4900,10949
PHP,sebastianbergmann | exporter,113,485
PHP,phanan | koel,3526,8595
PHP,Zizaco | entrust,1257,1926
PHP,sebastianbergmann | environment,224,420
PHP,laravel | lumen,282,260
PHP,laravel | framework,57641,111537
PHP,phpmyadmin | phpmyadmin,58757,150977
PHP,mgp25 | Chat-API,3851,17160
PHP,mockery | mockery,5611,10705
PHP,swiftmailer | swiftmailer,9772,27531
PHP,JeffreyWay | Laravel-4-Generators,820,1173
PHP,typecho | typecho,13266,23524
PHP,tijsverkoyen | CssToInlineStyles,235,1084
PHP,symfony | finder,1263,3760
PHP,nrk | predis,18999,32548
PHP,symfony | var-dumper,1495,8946
PHP,aws | aws-sdk-php,24634,47283
PHP,sebastianbergmann | comparator,1009,2014
PHP,facebookarchive | facebook-php-sdk,831,2794
PHP,botman | botman,3029,8207
PHP,doctrine | orm,32080,91885
PHP,ThinkUpLLC | ThinkUp,53728,124475
PHP,bcit-ci | CodeIgniter,29409,35598
PHP,avalanche123 | Imagine,7458,11808
PHP,wallabag | wallabag,5195,21343
PHP,doctrine | common,1796,3754
PHP,timber | timber,4835,14666
PHP,lcobucci | jwt,2605,3891
PHP,silexphp | Silex,2259,7450
PHP,magento | magento2,804352,1517100
PHP,PrestaShop | PrestaShop,166040,272741
PHP,barryvdh | laravel-ide-helper,864,1855
PHP,symfony | symfony,118488,350594
PHP,kanboard | kanboard,55950,172163
PHP,KnpLabs | snappy,358,1562
PHP,symfony | translation,2953,6877
PHP,top-think | think,340,214
PHP,hanc00l | wooyun_public,2,1449
PHP,getgrav | grav,33960,77815
PHP,sebastianbergmann | php-code-coverage,23566,95990
PHP,sebastianbergmann | phpunit,45600,146088
PHP,cakephp | cakephp,113352,188313
PHP,walkor | Workerman,2835,4971
PHP,phpstan | phpstan,6796,87956
PHP,fuzzdb-project | fuzzdb,1046,1908
PHP,kriswallsmith | assetic,3799,10885
PHP,yiisoft | yii,60847,742992
PHP,yiisoft | yii2,57972,104779
PHP,mautic | mautic,115270,286951
PHP,deployphp | deployer,2860,7815
PHP,symfony | event-dispatcher,687,1977
PHP,dingo | api,4652,7232
PHP,spatie | laravel-permission,662,2968
PHP,symfony | http-kernel,6015,17129
PHP,flarum | core,12018,17906
PHP,nikic | FastRoute,330,1345
PHP,erusev | parsedown,406,1483
PHP,mgp25 | Instagram-API,25429,22685
PHP,rappasoft | laravel-5-boilerplate,7531,21571
PHP,doctrine | cache,1371,3664
PHP,dodgepudding | wechat-php-sdk,4011,9297
PHP,z-song | laravel-admin,9976,18650
PHP,nextcloud | server,163465,290906
PHP,PHPMailer | PHPMailer,3475,6456
PHP,WordPress | WordPress,140851,236130
PHP,doctrine | collections,933,2116
PHP,geocoder-php | Geocoder,5536,13826
PHP,vrana | adminer,2150,25367
PHP,phar-io | manifest,1324,2019
PHP,guzzle | promises,613,2809
PHP,barryvdh | laravel-cors,106,598
PHP,mledoze | countries,170,301
PHP,webonyx | graphql-php,11183,55062
PHP,humhub | humhub,84865,142349
PHP,matomo-org | matomo,104952,253194
PHP,mtdowling | cron-expression,613,1325
PHP,symfony | routing,3600,17070
PHP,PHPOffice | PHPExcel,40140,69553
PHP,fzaninotto | Faker,10725,105661
PHP,andersao | l5-repository,2630,2979
PHP,the-control-group | voyager,2342,26481
PHP,bolt | bolt,28511,67312
PHP,FriendsOfPHP | Goutte,60,545
PHP,phpDocumentor | ReflectionDocBlock,3538,4572
PHP,barryvdh | laravel-dompdf,321,221
PHP,bobthecow | psysh,7729,13806
PHP,YOURLS | YOURLS,11497,17868
PHP,laravel | telescope,2118,4080
PHP,chrisboulton | php-resque,945,2476
PHP,isohuntto | openbay,1212,7404
PHP,symfony | debug,882,3651
PHP,docker | labs,103826,167147
PHP,doctrine | annotations,2225,8208
PHP,symfony | thanks,40,322
PHP,domnikl | DesignPatternsPHP,804,2925
PHP,phar-io | version,573,799
PHP,wp-cli | wp-cli,4509,9569
PHP,sebastianbergmann | phpunit-mock-objects,1747,4082
PHP,abraham | twitteroauth,672,1070
PHP,overtrue | wechat,12645,20347
PHP,Maatwebsite | Laravel-Excel,3637,8412
PHP,doctrine | inflector,284,2829
PHP,hamcrest | hamcrest-php,1776,6438
PHP,JakubOnderka | PHP-Console-Color,64,370
PHP,helloqingfeng | Awsome-Front-End-learning-resource,10118,11735
PHP,octobercms | october,18465,77545
PHP,directus | directus,102166,225958
PHP,CachetHQ | Cachet,21783,50086
PHP,laravel | laravel,1248,1128
PHP,guzzle | psr7,1718,7277
PHP,cakephp | phinx,8910,23966
