Linguagem,Projeto,Numero de Tokens de Codigo Fonte (Excluindo Tokens de Comentario),Numero de Tokens apenas dos Comentarios,Numero Total de Tokens do Projeto,NTCF/NTTP (%),NTC/NTTP (%),Numero de Caracteres de Codigo Fonte (Excluindo Caracteres de Comentario),Numero de Caracteres apenas dos Comentarios,Numero Total de Carateres do Projeto,NCCF/NTCP (%),NCC/NTCP (%),Numero de Linhas de Codigo Fonte (Excluindo Linhas de Comentario),Numero de Linhas apenas do Comentarios,Numero Total de Linhas do Projeto,NLCF/NTLP (%),NLC/NTLP (%)
PHP,spatie | laravel-permission,20363,3002,23365,87.15,12.85,100051,12684,112735,88.75,11.25,2968,662,3630,81.76,18.24
PHP,laravel | framework,764822,241867,1006689,75.97,24.03,3264809,956660,4221469,77.34,22.66,111537,57641,169178,65.93,34.07
PHP,doctrine | orm,592764,153201,745965,79.46,20.54,2816435,624353,3440788,81.85,18.15,91885,32080,123965,74.12,25.88
PHP,walkor | Workerman,31239,10540,41779,74.77,25.23,124278,39901,164179,75.70,24.30,4971,2835,7806,63.68,36.32
PHP,laravel | tinker,1203,631,1834,65.59,34.41,5230,2147,7377,70.90,29.10,235,140,375,62.67,37.33
PHP,guzzle | guzzle,54946,13472,68418,80.31,19.69,217940,57246,275186,79.20,20.80,8526,2200,10726,79.49,20.51
PHP,catfan | Medoo,7148,81,7229,98.88,1.12,24601,316,24917,98.73,1.27,1364,14,1378,98.98,1.02
PHP,slimphp | Slim,66171,23981,90152,73.40,26.60,284951,99486,384437,74.12,25.88,10949,4900,15849,69.08,30.92
PHP,phpseclib | phpseclib,232294,114373,346667,67.01,32.99,1012444,455489,1467933,68.97,31.03,35212,21709,56921,61.86,38.14
PHP,monicahq | monica,458812,83445,542257,84.61,15.39,3291457,292102,3583559,91.85,8.15,75728,15800,91528,82.74,17.26
PHP,ThinkUpLLC | ThinkUp,975535,357491,1333026,73.18,26.82,4616312,1431840,6048152,76.33,23.67,124475,53728,178203,69.85,30.15
PHP,overtrue | wechat,132053,49201,181254,72.86,27.14,586268,218635,804903,72.84,27.16,20347,12645,32992,61.67,38.33
PHP,hanc00l | wooyun_public,2365,68,2433,97.21,2.79,9471,418,9889,95.77,4.23,1449,2,1451,99.86,0.14
PHP,pagekit | pagekit,237233,32226,269459,88.04,11.96,1701981,108420,1810401,94.01,5.99,46297,9053,55350,83.64,16.36
PHP,jenssegers | laravel-mongodb,47109,9161,56270,83.72,16.28,175791,34935,210726,83.42,16.58,6122,1885,8007,76.46,23.54
PHP,hamcrest | hamcrest-php,31171,9068,40239,77.46,22.54,145720,32558,178278,81.74,18.26,6438,1776,8214,78.38,21.62
PHP,vrana | adminer,146385,18216,164601,88.93,11.07,856195,73150,929345,92.13,7.87,25367,2150,27517,92.19,7.81
PHP,PrestaShop | PrestaShop,1750109,1118520,2868629,61.01,38.99,8602461,4806381,13408842,64.16,35.84,272741,166040,438781,62.16,37.84
PHP,Codeception | Codeception,240825,96886,337711,71.31,28.69,1086246,353283,1439529,75.46,24.54,42820,17830,60650,70.60,29.40
PHP,humhub | humhub,730365,1222085,1952450,37.41,62.59,5522304,4967657,10489961,52.64,47.36,142349,84865,227214,62.65,37.35
