Linguagem,Projeto,Numero de Tokens de Codigo Fonte (Excluindo Tokens de Comentario),Numero de Tokens apenas dos Comentarios,Numero Total de Tokens do Projeto,NTCF/NTTP (%),NTC/NTTP (%),Numero de Caracteres de Codigo Fonte (Excluindo Caracteres de Comentario),Numero de Caracteres apenas dos Comentarios,Numero Total de Carateres do Projeto,NCCF/NTCP (%),NCC/NTCP (%)
PHP,abraham | twitteroauth,6303,3051,9354,67.38,32.62,27588,11764,39352,70.11,29.89
PHP,anchorcms | anchor-cms,61132,22027,83159,73.51,26.49,235829,83795,319624,73.78,26.22
PHP,andersao | l5-repository,16025,9062,25087,63.88,36.12,71022,32216,103238,68.79,31.21
PHP,avalanche123 | Imagine,78208,29692,107900,72.48,27.52,317830,127813,445643,71.32,28.68
PHP,aws | aws-sdk-php,3004606,230911,3235517,92.86,7.14,29356337,1135527,30491864,96.28,3.72
PHP,barryvdh | laravel-cors,3871,603,4474,86.52,13.48,17256,2316,19572,88.17,11.83
PHP,barryvdh | laravel-debugbar,17980,5782,23762,75.67,24.33,72425,22588,95013,76.23,23.77
PHP,barryvdh | laravel-dompdf,1364,2126,3490,39.08,60.92,5370,8215,13585,39.53,60.47
PHP,barryvdh | laravel-ide-helper,10600,4428,15028,70.54,29.46,45899,16763,62662,73.25,26.75
PHP,bcit-ci | CodeIgniter,209739,222945,432684,48.47,51.53,848334,735377,1583711,53.57,46.43
PHP,Behat | Behat,102069,71204,173273,58.91,41.09,533797,285198,818995,65.18,34.82
PHP,bobthecow | psysh,76153,37677,113830,66.90,33.10,336703,145759,482462,69.79,30.21
PHP,bolt | bolt,401173,129132,530305,75.65,24.35,1727347,507981,2235328,77.27,22.73
PHP,botman | botman,50785,11361,62146,81.72,18.28,214285,41669,255954,83.72,16.28
PHP,briannesbitt | Carbon,531242,2191061,2722303,19.51,80.49,3323999,6674883,9998882,33.24,66.76
PHP,CachetHQ | Cachet,294678,133673,428351,68.79,31.21,2185972,480379,2666351,81.98,18.02
PHP,cakephp | cakephp,1168406,597429,1765835,66.17,33.83,4890245,2390904,7281149,67.16,32.84
PHP,cakephp | phinx,147199,45341,192540,76.45,23.55,718060,187927,905987,79.26,20.74
PHP,caouecs | Laravel-lang,36075,53318,89393,40.36,59.64,518631,158823,677454,76.56,23.44
PHP,catfan | Medoo,7148,81,7229,98.88,1.12,24601,316,24917,98.73,1.27
PHP,chrisboulton | php-resque,13648,5689,19337,70.58,29.42,54738,22615,77353,70.76,29.24
PHP,chriskacerguis | codeigniter-restserver,14073,14777,28850,48.78,51.22,68209,50868,119077,57.28,42.72
PHP,Codeception | Codeception,240825,96886,337711,71.31,28.69,1086246,353283,1439529,75.46,24.54
PHP,composer | composer,643743,70807,714550,90.09,9.91,3232885,292621,3525506,91.70,8.30
PHP,danielmiessler | SecLists,3713,3241,6954,53.39,46.61,12984,14323,27307,47.55,52.45
PHP,deployphp | deployer,42674,13001,55675,76.65,23.35,185056,49793,234849,78.80,21.20
PHP,dingo | api,47726,17412,65138,73.27,26.73,202800,69387,272187,74.51,25.49
PHP,directus | directus,1318411,509579,1827990,72.12,27.88,6301591,2077855,8379446,75.20,24.80
PHP,docker | labs,909730,679012,1588742,57.26,42.74,4009625,2586297,6595922,60.79,39.21
PHP,doctrine | annotations,43150,8862,52012,82.96,17.04,178436,33611,212047,84.15,15.85
PHP,doctrine | cache,20586,6194,26780,76.87,23.13,88595,23564,112159,78.99,21.01
PHP,doctrine | collections,13511,3965,17476,77.31,22.69,53779,15170,68949,78.00,22.00
PHP,doctrine | common,18177,6832,25009,72.68,27.32,101582,28455,130037,78.12,21.88
PHP,doctrine | dbal,290293,72405,362698,80.04,19.96,1454501,273862,1728363,84.15,15.85
PHP,doctrine | inflector,17666,1190,18856,93.69,6.31,69362,4373,73735,94.07,5.93
PHP,doctrine | instantiator,2604,838,3442,75.65,24.35,15796,3776,19572,80.71,19.29
PHP,doctrine | lexer,1816,967,2783,65.25,34.75,7220,3627,10847,66.56,33.44
PHP,doctrine | orm,592764,153201,745965,79.46,20.54,2816435,624353,3440788,81.85,18.15
PHP,dodgepudding | wechat-php-sdk,63022,25206,88228,71.43,28.57,247398,123096,370494,66.78,33.22
PHP,domnikl | DesignPatternsPHP,13643,3348,16991,80.30,19.70,61765,12886,74651,82.74,17.26
PHP,dompdf | dompdf,133457,80246,213703,62.45,37.55,467579,293902,761481,61.40,38.60
PHP,drupal | drupal,4560973,2159767,6720740,67.86,32.14,23157855,9199775,32357630,71.57,28.43
PHP,egulias | EmailValidator,13715,743,14458,94.86,5.14,60689,2989,63678,95.31,4.69
PHP,elastic | elasticsearch-php,57477,39163,96640,59.48,40.52,257945,166838,424783,60.72,39.28
PHP,electerious | Lychee,23579,4910,28489,82.77,17.23,99326,20794,120120,82.69,17.31
PHP,erusev | parsedown,9172,844,10016,91.57,8.43,34790,3193,37983,91.59,8.41
PHP,ethicalhack3r | DVWA,125943,68250,194193,64.85,35.15,590422,266799,857221,68.88,31.12
PHP,facebookarchive | facebook-php-sdk,15775,5173,20948,75.31,24.69,73742,20248,93990,78.46,21.54
PHP,facebook | php-webdriver,44846,36974,81820,54.81,45.19,222655,162627,385282,57.79,42.21
PHP,fideloper | TrustedProxy,1582,1076,2658,59.52,40.48,9609,4341,13950,68.88,31.12
PHP,filp | whoops,18589,9403,27992,66.41,33.59,82064,39862,121926,67.31,32.69
PHP,flarum | core,99969,53936,153905,64.96,35.04,440434,204379,644813,68.30,31.70
PHP,FriendsOfPHP | Goutte,3727,303,4030,92.48,7.52,15291,1264,16555,92.36,7.64
PHP,FriendsOfPHP | PHP-CS-Fixer,368435,125295,493730,74.62,25.38,2229958,491916,2721874,81.93,18.07
PHP,fuzzdb-project | fuzzdb,7848,8654,16502,47.56,52.44,29475,39868,69343,42.51,57.49
PHP,fzaninotto | Faker,468659,78879,547538,85.59,14.41,8990491,339741,9330232,96.36,3.64
PHP,geocoder-php | Geocoder,89249,22204,111453,80.08,19.92,416295,93407,509702,81.67,18.33
PHP,getgrav | grav,232707,93292,325999,71.38,28.62,969971,349910,1319881,73.49,26.51
PHP,googleapis | google-api-php-client,36981,16625,53606,68.99,31.01,163457,74776,238233,68.61,31.39
PHP,guzzle | guzzle,54946,13472,68418,80.31,19.69,217940,57246,275186,79.20,20.80
PHP,guzzle | promises,18542,3759,22301,83.14,16.86,63222,15896,79118,79.91,20.09
PHP,guzzle | psr7,44797,10227,55024,81.41,18.59,178792,42839,221631,80.67,19.33
PHP,hamcrest | hamcrest-php,31171,9068,40239,77.46,22.54,145720,32558,178278,81.74,18.26
