Linguagem,Projeto,Quantidade de Contribuidores,URL
Visual Basic,ImminentFate | CompactGUI,4,https://github.com/ImminentFate/CompactGUI.git
Visual Basic,VBA-tools | VBA-Web,13,https://github.com/VBA-tools/VBA-Web.git
Visual Basic,mymmsc | books,1,https://github.com/mymmsc/books.git
Visual Basic,mdsecactivebreach | SharpShooter,4,https://github.com/mdsecactivebreach/SharpShooter.git
Visual Basic,VBA-tools | VBA-JSON,4,https://github.com/VBA-tools/VBA-JSON.git
Visual Basic,OfficeDev | Office-IT-Pro-Deployment-Scripts,15,https://github.com/OfficeDev/Office-IT-Pro-Deployment-Scripts.git
Visual Basic,mdsecactivebreach | CACTUSTORCH,3,https://github.com/mdsecactivebreach/CACTUSTORCH.git
Visual Basic,Mr-Un1k0d3r | MaliciousMacroGenerator,5,https://github.com/Mr-Un1k0d3r/MaliciousMacroGenerator.git
Visual Basic,AyrA | ExcelStuff,1,https://github.com/AyrA/ExcelStuff.git
Visual Basic,NYAN-x-CAT | Lime-RAT,1,https://github.com/NYAN-x-CAT/Lime-RAT.git
Visual Basic,basildane | WakeOnLAN,4,https://github.com/basildane/WakeOnLAN.git
Visual Basic,seanyeh | vibreoffice,1,https://github.com/seanyeh/vibreoffice.git
Visual Basic,freebasic | fbc,20,https://github.com/freebasic/fbc.git
Visual Basic,nccgroup | VCG,1,https://github.com/nccgroup/VCG.git
Visual Basic,krlmlr | Excel2LaTeX,3,https://github.com/krlmlr/Excel2LaTeX.git
Visual Basic,MoscaDotTo | Winapp2,17,https://github.com/MoscaDotTo/Winapp2.git
Visual Basic,hilkoc | vbaDeveloper,8,https://github.com/hilkoc/vbaDeveloper.git
Visual Basic,Cn33liz | StarFighters,1,https://github.com/Cn33liz/StarFighters.git
Visual Basic,clinthuffman | PAL,4,https://github.com/clinthuffman/PAL.git
Visual Basic,tannerhelland | PhotoDemon,6,https://github.com/tannerhelland/PhotoDemon.git
Visual Basic,malwares | Crypter,0,https://github.com/malwares/Crypter.git
Visual Basic,DioJoestar | SteamCMD-GUI,4,https://github.com/DioJoestar/SteamCMD-GUI.git
Visual Basic,cdhigh | tkinter-designer,1,https://github.com/cdhigh/tkinter-designer.git
Visual Basic,SilentSys | SLAM,9,https://github.com/SilentSys/SLAM.git
Visual Basic,onovotny | MSBuildSdkExtras,17,https://github.com/onovotny/MSBuildSdkExtras.git
Visual Basic,Fleex255 | PolicyPlus,2,https://github.com/Fleex255/PolicyPlus.git
Visual Basic,itm4n | VBA-RunPE,1,https://github.com/itm4n/VBA-RunPE.git
Visual Basic,michaelneu | webxcel,2,https://github.com/michaelneu/webxcel.git
Visual Basic,RelaxTools | RelaxTools-Addin,5,https://github.com/RelaxTools/RelaxTools-Addin.git
Visual Basic,joesecurity | pafishmacro,1,https://github.com/joesecurity/pafishmacro.git
Visual Basic,dragokas | hijackthis,4,https://github.com/dragokas/hijackthis.git
Visual Basic,ArsenalRecon | Arsenal-Image-Mounter,1,https://github.com/ArsenalRecon/Arsenal-Image-Mounter.git
Visual Basic,SoapyHamHocks | MetroSteamSettings,2,https://github.com/SoapyHamHocks/MetroSteamSettings.git
Visual Basic,NHLGames | NHLGames,8,https://github.com/NHLGames/NHLGames.git
Visual Basic,mwsrc | PlasmaRAT,0,https://github.com/mwsrc/PlasmaRAT.git
Visual Basic,Steppschuh | RemoteControlServer,6,https://github.com/Steppschuh/RemoteControlServer.git
Visual Basic,gerritv | Grbl-Panel,4,https://github.com/gerritv/Grbl-Panel.git
Visual Basic,vbaidiot | ariawase,6,https://github.com/vbaidiot/ariawase.git
Visual Basic,emilefyon | Excel-VBA-Productivity-Libraries,2,https://github.com/emilefyon/Excel-VBA-Productivity-Libraries.git
Visual Basic,EvanAnderson | ts_block,1,https://github.com/EvanAnderson/ts_block.git
Visual Basic,Wagnard | display-drivers-uninstaller,4,https://github.com/Wagnard/display-drivers-uninstaller.git
Visual Basic,VBA-tools | VBA-Dictionary,2,https://github.com/VBA-tools/VBA-Dictionary.git
Visual Basic,dzzie | pdfstreamdumper,1,https://github.com/dzzie/pdfstreamdumper.git
Visual Basic,vertcoin-project | One-Click-Miner,7,https://github.com/vertcoin-project/One-Click-Miner.git
