Linguagem,Projetos,Linhas de Comentario,Linhas de Codigo
Visual Basic,DanWBR | dwsim4,46968,256547
Visual Basic,Hou5e | FoldingBrowser,1714,6940
Visual Basic,SQL-FineBuild | v3.4,260,2845
Visual Basic,Timocop | BasicPawn,6692,37293
Visual Basic,avwuff | SVG-to-GCode,1697,3657
Visual Basic,EvanAnderson | ts_block,61,212
Visual Basic,dzzie | addins,46919,76288
Visual Basic,Exidous | Unpackers,1285,4791
Visual Basic,jwinterm | monerospelunker,133,437
Visual Basic,ImminentFate | CompactGUI,585,3992
Visual Basic,Xyl2k | Hydra-GUI,812,773
Visual Basic,mwsrc | BetterRAT,1314,7876
Visual Basic,tannerhelland | PhotoDemon,99285,166587
Visual Basic,streamlink | streamlink-portable,321,4248
Visual Basic,mwsrc | njRAT,1869,16636
Visual Basic,seanyeh | vibreoffice,184,646
Visual Basic,alekseybochkov | EventLogLoader,598,3685
Visual Basic,P3D-Legacy | P3D-Legacy,8258,134895
Visual Basic,Phreak87 | ESPeensy-and-Peensy-Payload-Generator-ESP8266-Teensy-3.5-,507,1795
Visual Basic,ultrara1n | MiToolkit,306,1016
Visual Basic,coryarcangel | Super-Mario-Clouds,0,224
Visual Basic,benchen71 | epub-metadata-editor,1786,10370
Visual Basic,itm4n | VBA-RunPE,155,529
Visual Basic,clinthuffman | PAL,2018,9373
Visual Basic,dzzie | MAP,7261,14271
Visual Basic,mgeeky | RobustPentestMacro,143,315
Visual Basic,Gamer2020 | PokemonGameEditor,4358,22373
Visual Basic,mwsrc | PlasmaRAT,950,7536
Visual Basic,DanWBR | dwsim3,39288,232652
Visual Basic,n8felton | Firefox-ADMX,41,591
Visual Basic,mikecel79 | DISMGUI,1240,5117
Visual Basic,ADN-DevTech | Inventor-Training-Material,3772,11439
Visual Basic,A9T9 | SeeShell,68,235
Visual Basic,cluberti | VDI,249,519
Visual Basic,alkrauss48 | code_samples,86,1418
Visual Basic,MrJag | ghost,752,9358
Visual Basic,thrimbor | frost,1139,3960
Visual Basic,huggle | huggle,4797,24393
Visual Basic,strathausen | qtrek.bas,16,2872
Visual Basic,alekseybochkov | PasswordChanger1C,311,1913
Visual Basic,VBA-tools | VBA-XML,226,708
Visual Basic,joesecurity | pafishmacro,0,250
Visual Basic,esap | esbook,37,365
Visual Basic,CuteLeon | Hack-System,3670,9961
Visual Basic,Mr-Un1k0d3r | MaliciousMacroGenerator,0,962
Visual Basic,wqweto | UMMM,118,757
Visual Basic,SilentSys | SLAM,446,2790
Visual Basic,badcodes | vb6,63772,130740
Visual Basic,SingularLabs | JavaRa,653,2391
Visual Basic,netprofilesmod | netprofilesmod,2084,6452
Visual Basic,ASCOMInitiative | ASCOMPlatform,52594,89984
Visual Basic,kjanku1 | WindowsApplication1,466,1637
Visual Basic,kmscode | mRemote3G,4873,32695
Visual Basic,iH8sn0w | sn0wbreeze,1591,10553
Visual Basic,emilefyon | Excel-VBA-Productivity-Libraries,707,857
Visual Basic,AyrA | ExcelStuff,98,575
Visual Basic,BradlySharpe | trelloOutlookAddon,127,1465
Visual Basic,riyazwalikar | adbrute,246,1097
Visual Basic,maxrice | excel-geocoding-tool,97,258
Visual Basic,moisesmcardona | GoogleDriveUploadTool,620,4563
Visual Basic,malwares | Crypter,71959,174869
Visual Basic,NYAN-x-CAT | Lime-Miner,263,2662
Visual Basic,jpimbert | VBAToolKit,5354,11651
Visual Basic,dzzie | libs,164945,323304
Visual Basic,Arks-Layer | PSO2Tweaker,2234,8798
Visual Basic,Fleex255 | PolicyPlus,1624,10068
Visual Basic,dzzie | pdfstreamdumper,8194,15726
Visual Basic,yuukiw | StardewValleyMM,508,2369
Visual Basic,xieguigang | sciBASIC,164660,186993
Visual Basic,Cn33liz | MacroMeter,25,204
Visual Basic,switch-stuff | HACToolGUI,418,2045
Visual Basic,aikoncwd | vbs-ad-health-report,23,306
Visual Basic,mymmsc | books,3610,4328
Visual Basic,ljw1004 | async-exception-stacktrace,143,352
Visual Basic,gbmhunter | AltiumScriptCentral,1329,2963
Visual Basic,N-able | ScriptsAndAutomationPolicies,1249,3110
Visual Basic,ranulldd | NEIE-Assistant,366,3988
Visual Basic,Catboy96 | Automator,120,374
Visual Basic,krijnsent | crypto_vba,1144,3968
Visual Basic,dragokas | hijackthis,16505,55947
Visual Basic,NYAN-x-CAT | Lime-Crypter,590,3923
Visual Basic,freebasic | fbc,37418,223449
Visual Basic,AliBawazeEer | RAT-NjRat-0.7d-modded-source-code,1409,13023
Visual Basic,Krutonium | OpenRCT2Launcher,1304,4799
Visual Basic,Wulf2k | DaS-PC-MPChan,449,4787
Visual Basic,stealthbot | StealthBot,17833,39627
Visual Basic,iMokhles | IPAInstaller-Windows,214,674
Visual Basic,spences10 | pacellman,220,1406
Visual Basic,Cn33liz | StarFighters,15,604
Visual Basic,YuLin12345 | Affordable-AIO-Bot,1108,3647
Visual Basic,vbaidiot | ariawase,340,2079
Visual Basic,DanWBR | dwsim5,49428,298773
Visual Basic,Wagnard | display-drivers-uninstaller,2034,19764
Visual Basic,heinsega | OX163,8191,15751
Visual Basic,hilkoc | vbaDeveloper,316,1369
Visual Basic,ArsenalRecon | Arsenal-Image-Mounter,2813,9319
Visual Basic,nak1114 | rbenv-win,0,848
Visual Basic,srbcheema1 | CheemaFy,160,4860
Visual Basic,michaelneu | webxcel,195,1437
Visual Basic,OfficeDev | Office-IT-Pro-Deployment-Scripts,139,739
Visual Basic,gerritv | Grbl-Panel,2322,7226
Visual Basic,nylen | vba-common-library,454,1449
Visual Basic,kjnh10 | ExcelLikeVim,595,3557
Visual Basic,MikeMaximus | gbm,4504,23076
Visual Basic,Steppschuh | RemoteControlServer,946,7087
Visual Basic,attdevsupport | API-Platform,2540,9588
Visual Basic,firemodels | cfast,3031,31215
Visual Basic,AllenMattson | VBA,17490,86516
Visual Basic,nccgroup | VCG,2764,8150
Visual Basic,Twi1ight | AD-Pentest-Script,29,251
Visual Basic,winadminsdotorg | SystemCenterConfigMgr,458,3635
Visual Basic,AlessandroDelSole | CodeSnippetStudio,203,2318
Visual Basic,cdhigh | tkinter-designer,2616,11554
Visual Basic,EVEIPH | EVE-IPH,14004,76184
Visual Basic,ventrian | News-Articles,9813,31600
Visual Basic,baijuxavior | AdvancedMCEMapperTool,141,1364
Visual Basic,BigPino67 | Tesseract-MICR-OCR,144,664
Visual Basic,VBA-tools | VBA-Dictionary,131,791
Visual Basic,spotnet | spotnet,307,9363
Visual Basic,markheath | voicerecorder,311,2594
Visual Basic,MicrosoftDocs | iis-docs,171,7709
Visual Basic,VelinGeorgiev | Simple-VBA-functions,224,215
Visual Basic,NHLGames | NHLGames,1954,9609
Visual Basic,chrisbra | histwin.vim,15,1411
Visual Basic,PoC-Consortium | Qbundle,2381,15592
Visual Basic,DioJoestar | SteamCMD-GUI,517,2091
Visual Basic,leveryd | vulndocker,0,1500
Visual Basic,mateuszzwierzycki | Owl,1730,14187
Visual Basic,NYAN-x-CAT | Lime-RAT,2310,15641
Visual Basic,Arno0x | WebDavDelivery,105,261
Visual Basic,mono | mono-basic,47190,229769
Visual Basic,mdsecactivebreach | CACTUSTORCH,47,423
Visual Basic,leveleditor | CAMM-Crystal-Alien-Map-Maker,1118,6728
Visual Basic,fireeye | remote_lookup,468,986
Visual Basic,EnclaveConsulting | Windows-Services,125,443
Visual Basic,dzzie | SysAnalyzer,7583,16198
Visual Basic,TheSph1nx | RT-101,1641,9666
Visual Basic,onovotny | MSBuildSdkExtras,392,952
Visual Basic,christwellman | VBAMacros,1759,5273
Visual Basic,taxbender | ExcelVBA,203,760
Visual Basic,parkrun | parkrunAPI,188,332
Visual Basic,Bertware | bukkitgui,4979,17704
Visual Basic,changbowen | Ken-Burns-Slideshow,248,2348
Visual Basic,SoapyHamHocks | MetroSteamSettings,92,576
Visual Basic,visualbasic6 | chatter,580,637
Visual Basic,christophetd | spoofing-office-macro,21,228
Visual Basic,Jonathan-LeRoux | IguanaTex,509,3548
Visual Basic,oracle | json-in-db,323,2665
Visual Basic,Destiny1984 | XCI-Cutter,276,1294
Visual Basic,xAsiimov | LibertyHosts,213,974
Visual Basic,VBGAMER45 | Semi-VB-Decompiler,6827,26271
Visual Basic,RelaxTools | RelaxTools-Addin,25670,43359
Visual Basic,sintaxasn | MigAssistant,1076,4064
Visual Basic,dzzie | COMRaider,4993,6413
Visual Basic,brucemcpherson | VbaGit,885,4019
Visual Basic,alienwithin | torCT-PHP-RAT,97,9421
Visual Basic,IC3DPrinters | filament-extrusion,915,497
Visual Basic,vbRichClient | vbWidgets,1743,9254
Visual Basic,DotNetAnalyzers | DotNetAnalyzers,326,895
