Linguagem,Projeto,Numero de Tokens de Codigo Fonte (Excluindo Tokens de Comentario),Numero de Tokens apenas dos Comentarios,Numero Total de Tokens do Projeto,NTCF/NTTP (%),NTC/NTTP (%),Numero de Caracteres de Codigo Fonte (Excluindo Caracteres de Comentario),Numero de Caracteres apenas dos Comentarios,Numero Total de Carateres do Projeto,NCCF/NTCP (%),NCC/NTCP (%),Numero de Linhas de Codigo Fonte (Excluindo Linhas de Comentario),Numero de Linhas apenas do Comentarios,Numero Total de Linhas do Projeto,NLCF/NTLP (%),NLC/NTLP (%)
Visual Basic,Wagnard | display-drivers-uninstaller,130992,28415,159407,82.17,17.83,629593,119733,749326,84.02,15.98,19764,2034,21798,90.67,9.33
Visual Basic,pyenv-win | pyenv-win,10429,4,10433,99.96,0.04,69963,34,69997,99.95,0.05,1254,0,1254,100.00,0.00
Visual Basic,Fleex255 | PolicyPlus,83194,6628,89822,92.62,7.38,381427,29706,411133,92.77,7.23,10068,1624,11692,86.11,13.89
Visual Basic,Kr00l | VBCCR,970730,9216,979946,99.06,0.94,5461836,42468,5504304,99.23,0.77,138711,11197,149908,92.53,7.47
Visual Basic,Catboy96 | Automator,2489,870,3359,74.10,25.90,13453,4260,17713,75.95,24.05,374,120,494,75.71,24.29
Visual Basic,mdsecactivebreach | CACTUSTORCH,2127,845,2972,71.57,28.43,39315,2241,41556,94.61,5.39,423,47,470,90.00,10.00
Visual Basic,NYAN-x-CAT | Lime-Crypter,36681,4899,41580,88.22,11.78,145924,16983,162907,89.58,10.42,3923,590,4513,86.93,13.07
Visual Basic,mwsrc | BetterRAT,75413,2949,78362,96.24,3.76,324830,15475,340305,95.45,4.55,7876,1314,9190,85.70,14.30
Visual Basic,EnclaveConsulting | Windows-Services,2738,1284,4022,68.08,31.92,20331,8282,28613,71.06,28.94,443,125,568,77.99,22.01
Visual Basic,ASCOMInitiative | ASCOMPlatform,751600,593017,1344617,55.90,44.10,3348112,2206393,5554505,60.28,39.72,89984,52594,142578,63.11,36.89
Visual Basic,freebasic | fbc,1519359,387195,1906554,79.69,20.31,4689281,1473245,6162526,76.09,23.91,223449,37418,260867,85.66,14.34
Visual Basic,Hou5e | FoldingBrowser,69211,12937,82148,84.25,15.75,296060,55631,351691,84.18,15.82,6940,1714,8654,80.19,19.81
Visual Basic,aikoncwd | win10script,11632,0,11632,100.00,0.00,68956,0,68956,100.00,0.00,1325,0,1325,100.00,0.00
Visual Basic,alienwithin | torCT-PHP-RAT,62890,206,63096,99.67,0.33,318420,893,319313,99.72,0.28,9421,97,9518,98.98,1.02
Visual Basic,winadminsdotorg | SystemCenterConfigMgr,21634,4143,25777,83.93,16.07,114705,16914,131619,87.15,12.85,3635,458,4093,88.81,11.19
Visual Basic,alekseybochkov | EventLogLoader,28354,5170,33524,84.58,15.42,136490,22385,158875,85.91,14.09,3685,598,4283,86.04,13.96
Visual Basic,dzzie | SysAnalyzer,119424,21958,141382,84.47,15.53,517626,91962,609588,84.91,15.09,16198,7583,23781,68.11,31.89
Visual Basic,dzzie | RE_Plugins,143641,40549,184190,77.99,22.01,615547,167242,782789,78.64,21.36,19341,11457,30798,62.80,37.20
Visual Basic,spotnet | spotnet,64620,2977,67597,95.60,4.40,271334,11556,282890,95.92,4.08,9363,307,9670,96.83,3.17
Visual Basic,VBA-tools | VBA-Dictionary,4915,915,5830,84.31,15.69,20751,3118,23869,86.94,13.06,791,131,922,85.79,14.21
Visual Basic,strathausen | qtrek.bas,32515,106,32621,99.68,0.32,52711,451,53162,99.15,0.85,2872,16,2888,99.45,0.55
Visual Basic,dzzie | IDACompare,34565,8132,42697,80.95,19.05,132723,30765,163488,81.18,18.82,4665,2418,7083,65.86,34.14
Visual Basic,stealthbot | StealthBot,273864,53729,327593,83.60,16.40,1328916,217605,1546521,85.93,14.07,39627,17833,57460,68.96,31.04
Visual Basic,Exidous | Unpackers,33712,11177,44889,75.10,24.90,156996,39142,196138,80.04,19.96,4791,1285,6076,78.85,21.15
Visual Basic,thrimbor | frost,27777,10285,38062,72.98,27.02,118886,41121,160007,74.30,25.70,3960,1139,5099,77.66,22.34
Visual Basic,IC3DPrinters | filament-extrusion,5774,593,6367,90.69,9.31,22160,2685,24845,89.19,10.81,497,915,1412,35.20,64.80
Visual Basic,BradlySharpe | trelloOutlookAddon,9838,971,10809,91.02,8.98,47015,3672,50687,92.76,7.24,1465,127,1592,92.02,7.98
Visual Basic,clinthuffman | PAL,78640,8938,87578,89.79,10.21,422908,44716,467624,90.44,9.56,9373,2018,11391,82.28,17.72
Visual Basic,MarcWeber | autohotkey_viper,1505,2566,4071,36.97,63.03,7745,11630,19375,39.97,60.03,535,129,664,80.57,19.43
Visual Basic,dzzie | COMRaider,49304,12416,61720,79.88,20.12,218247,49734,267981,81.44,18.56,6413,4993,11406,56.22,43.78
Visual Basic,DanWBR | dwsim5,2802695,308450,3111145,90.09,9.91,11322924,1243536,12566460,90.10,9.90,298773,49428,348201,85.80,14.20
Visual Basic,rclab-auth | gidopensees,122470,171,122641,99.86,0.14,416109,787,416896,99.81,0.19,11396,0,11396,100.00,0.00
Visual Basic,markheath | voicerecorder,15016,3576,18592,80.77,19.23,72745,13899,86644,83.96,16.04,2594,311,2905,89.29,10.71
Visual Basic,BigPino67 | Tesseract-MICR-OCR,5804,835,6639,87.42,12.58,25936,3174,29110,89.10,10.90,664,144,808,82.18,17.82
Visual Basic,VBA-tools | VBA-XML,4049,1387,5436,74.48,25.52,20484,5444,25928,79.00,21.00,708,226,934,75.80,24.20
Visual Basic,maxrice | excel-geocoding-tool,1460,925,2385,61.22,38.78,6309,4401,10710,58.91,41.09,258,97,355,72.68,27.32
Visual Basic,nylen | vba-common-library,8199,4994,13193,62.15,37.85,35970,19486,55456,64.86,35.14,1449,454,1903,76.14,23.86
Visual Basic,rubberduck-vba | Battleship,17966,3480,21446,83.77,16.23,89351,13727,103078,86.68,13.32,2904,593,3497,83.04,16.96
Visual Basic,DanCooper | Ember-MM-Newscraper,2028056,287399,2315455,87.59,12.41,9845872,980285,10826157,90.95,9.05,217089,37945,255034,85.12,14.88
Visual Basic,vbaidiot | ariawase,16495,3237,19732,83.60,16.40,56162,9560,65722,85.45,14.55,2079,340,2419,85.94,14.06
Visual Basic,Jonathan-LeRoux | IguanaTex,21663,3618,25281,85.69,14.31,106845,16607,123452,86.55,13.45,3548,509,4057,87.45,12.55
Visual Basic,cluberti | VDI,2489,1702,4191,59.39,40.61,32784,8605,41389,79.21,20.79,519,249,768,67.58,32.42
Visual Basic,ljw1004 | async-exception-stacktrace,2799,1442,4241,66.00,34.00,12872,5491,18363,70.10,29.90,352,143,495,71.11,28.89
Visual Basic,Timocop | BasicPawn,301302,41982,343284,87.77,12.23,1538323,176472,1714795,89.71,10.29,37293,6692,43985,84.79,15.21
Visual Basic,joesecurity | pafishmacro,1069,0,1069,100.00,0.00,5534,0,5534,100.00,0.00,250,0,250,100.00,0.00
Visual Basic,mikecel79 | DISMGUI,49557,3900,53457,92.70,7.30,227473,16656,244129,93.18,6.82,5117,1240,6357,80.49,19.51
Visual Basic,Krutonium | OpenRCT2Launcher,37557,7894,45451,82.63,17.37,185976,29196,215172,86.43,13.57,4799,1304,6103,78.63,21.37
Visual Basic,VBA-tools | vba-test,5381,1504,6885,78.16,21.84,22869,6084,28953,78.99,21.01,866,333,1199,72.23,27.77
Visual Basic,TheSph1nx | RT-101,94842,5168,100010,94.83,5.17,369778,22388,392166,94.29,5.71,9666,1641,11307,85.49,14.51
Visual Basic,huggle | huggle,224027,21870,245897,91.11,8.89,922251,91907,1014158,90.94,9.06,24393,4797,29190,83.57,16.43
Visual Basic,spences10 | VBA-IDE-Code-Export,8613,2974,11587,74.33,25.67,48275,13530,61805,78.11,21.89,1481,427,1908,77.62,22.38
Visual Basic,krlmlr | Excel2LaTeX,8964,723,9687,92.54,7.46,48265,3056,51321,94.05,5.95,1453,331,1784,81.45,18.55
Visual Basic,srbcheema1 | CheemaFy,29967,11863,41830,71.64,28.36,119540,33861,153401,77.93,22.07,4860,160,5020,96.81,3.19
Visual Basic,chenshaoju | tcpportcheck,1725,685,2410,71.58,28.42,7790,2561,10351,75.26,24.74,224,92,316,70.89,29.11
Visual Basic,gbmhunter | AltiumScriptCentral,14762,12291,27053,54.57,45.43,89043,53751,142794,62.36,37.64,2963,1329,4292,69.04,30.96
Visual Basic,jpimbert | VBAToolKit,77263,65500,142763,54.12,45.88,568954,219440,788394,72.17,27.83,11651,5354,17005,68.52,31.48
Visual Basic,EvanAnderson | ts_block,1417,653,2070,68.45,31.55,9031,2903,11934,75.67,24.33,212,61,273,77.66,22.34
Visual Basic,nak1114 | rbenv-win,5741,4,5745,99.93,0.07,36707,34,36741,99.91,0.09,848,0,848,100.00,0.00
Visual Basic,changbowen | Ken-Burns-Slideshow,18795,2284,21079,89.16,10.84,80534,10945,91479,88.04,11.96,2348,248,2596,90.45,9.55
Visual Basic,attdevsupport | API-Platform,62986,22304,85290,73.85,26.15,331572,84539,416111,79.68,20.32,9588,2540,12128,79.06,20.94
Visual Basic,dzzie | MAP,99213,20371,119584,82.97,17.03,417167,84697,501864,83.12,16.88,14271,7261,21532,66.28,33.72
Visual Basic,christophetd | spoofing-office-macro,1124,365,1489,75.49,24.51,6159,1044,7203,85.51,14.49,228,21,249,91.57,8.43
Visual Basic,dzzie | addins,546097,189659,735756,74.22,25.78,2501144,917283,3418427,73.17,26.83,76288,46919,123207,61.92,38.08
Visual Basic,Xyl2k | Hydra-GUI,6670,536,7206,92.56,7.44,30165,7408,37573,80.28,19.72,773,812,1585,48.77,51.23
Visual Basic,Gamer2020 | PokemonGameEditor,267541,20176,287717,92.99,7.01,1038788,76070,1114858,93.18,6.82,22373,4358,26731,83.70,16.30
Visual Basic,iH8sn0w | sn0wbreeze,88757,6643,95400,93.04,6.96,395276,29293,424569,93.10,6.90,10553,1591,12144,86.90,13.10
Visual Basic,DotNetAnalyzers | DotNetAnalyzers,9479,6740,16219,58.44,41.56,51011,25539,76550,66.64,33.36,895,326,1221,73.30,26.70
Visual Basic,Arno0x | WebDavDelivery,2719,1827,4546,59.81,40.19,8782,5358,14140,62.11,37.89,261,105,366,71.31,28.69
Visual Basic,NHLGames | NHLGames,83209,12380,95589,87.05,12.95,369205,42276,411481,89.73,10.27,9609,1954,11563,83.10,16.90
Visual Basic,fireeye | remote_lookup,6074,891,6965,87.21,12.79,26369,4073,30442,86.62,13.38,986,468,1454,67.81,32.19
Visual Basic,switch-stuff | HACToolGUI,21052,1597,22649,92.95,7.05,83584,6332,89916,92.96,7.04,2045,418,2463,83.03,16.97
Visual Basic,dragokas | hijackthis,410398,105679,516077,79.52,20.48,1890082,498683,2388765,79.12,20.88,55947,16505,72452,77.22,22.78
Visual Basic,vertcoin-project | One-Click-Miner,53139,3889,57028,93.18,6.82,234199,16690,250889,93.35,6.65,6050,1042,7092,85.31,14.69
Visual Basic,streamlink | streamlink-portable,31819,2440,34259,92.88,7.12,165152,10557,175709,93.99,6.01,4248,321,4569,92.97,7.03
Visual Basic,AyrA | ExcelStuff,3766,278,4044,93.13,6.87,14422,1328,15750,91.57,8.43,575,98,673,85.44,14.56
Visual Basic,Wulf2k | DaS-PC-MPChan,39583,2665,42248,93.69,6.31,256413,10396,266809,96.10,3.90,4787,449,5236,91.42,8.58
Visual Basic,kjnh10 | ExcelLikeVim,22604,7087,29691,76.13,23.87,100282,39148,139430,71.92,28.08,3557,595,4152,85.67,14.33
Visual Basic,gerritv | Grbl-Panel,54079,13886,67965,79.57,20.43,256158,51000,307158,83.40,16.60,7226,2322,9548,75.68,24.32
Visual Basic,Cn33liz | VBSMeter,1992,437,2429,82.01,17.99,27674,2183,29857,92.69,7.31,385,50,435,88.51,11.49
Visual Basic,AllenMattson | VBA,589013,163771,752784,78.24,21.76,2755412,525804,3281216,83.98,16.02,86516,17490,104006,83.18,16.82
Visual Basic,PoC-Consortium | Qbundle,134965,8336,143301,94.18,5.82,522219,35316,557535,93.67,6.33,15592,2381,17973,86.75,13.25
Visual Basic,EVEIPH | EVE-IPH,603343,78975,682318,88.43,11.57,3161734,326720,3488454,90.63,9.37,76184,14004,90188,84.47,15.53
Visual Basic,AlessandroDelSole | CodeSnippetStudio,14647,1976,16623,88.11,11.89,80457,7499,87956,91.47,8.53,2318,203,2521,91.95,8.05
Visual Basic,hilkoc | vbaDeveloper,7503,2768,10271,73.05,26.95,39126,12437,51563,75.88,24.12,1369,316,1685,81.25,18.75
Visual Basic,BlackGeekTutorial | Beehind,89197,4454,93651,95.24,4.76,812182,18962,831144,97.72,2.28,11215,934,12149,92.31,7.69
Visual Basic,brucemcpherson | VbaGit,24987,7540,32527,76.82,23.18,102846,29286,132132,77.84,22.16,4019,885,4904,81.95,18.05
Visual Basic,mymmsc | books,96377,34999,131376,73.36,26.64,478183,141883,620066,77.12,22.88,4328,3610,7938,54.52,45.48
Visual Basic,hunterbeanland | AutoVer,92621,23109,115730,80.03,19.97,430451,107695,538146,79.99,20.01,11358,3342,14700,77.27,22.73
Visual Basic,DanWBR | dwsim4,2360166,293788,2653954,88.93,11.07,9298961,1181910,10480871,88.72,11.28,256547,46968,303515,84.53,15.47
Visual Basic,DanWBR | dwsim3,2162947,260921,2423868,89.24,10.76,8262368,1063944,9326312,88.59,11.41,232652,39288,271940,85.55,14.45
Visual Basic,VBA-tools | VBA-UTC,2161,356,2517,85.86,14.14,11286,2094,13380,84.35,15.65,300,80,380,78.95,21.05
Visual Basic,taxbender | ExcelVBA,3991,1930,5921,67.40,32.60,18638,8705,27343,68.16,31.84,760,203,963,78.92,21.08
Visual Basic,Twi1ight | AD-Pentest-Script,1366,352,1718,79.51,20.49,7031,995,8026,87.60,12.40,251,29,280,89.64,10.36
Visual Basic,ranulldd | NEIE-Assistant,26371,694,27065,97.44,2.56,93353,1866,95219,98.04,1.96,3988,366,4354,91.59,8.41
Visual Basic,m8urnett | pafwert,55964,18811,74775,74.84,25.16,248541,70719,319260,77.85,22.15,6077,6959,13036,46.62,53.38
Visual Basic,chrisbra | histwin.vim,10073,1898,11971,84.15,15.85,31843,5151,36994,86.08,13.92,1411,15,1426,98.95,1.05
Visual Basic,sintaxasn | MigAssistant,26779,7939,34718,77.13,22.87,154268,31796,186064,82.91,17.09,4064,1076,5140,79.07,20.93
Visual Basic,AliBawazeEer | RAT-NjRat-0.7d-modded-source-code,122378,4398,126776,96.53,3.47,470936,17750,488686,96.37,3.63,13023,1409,14432,90.24,9.76
Visual Basic,SingularLabs | JavaRa,22751,3132,25883,87.90,12.10,95035,14297,109332,86.92,13.08,2391,653,3044,78.55,21.45
Visual Basic,BloodBlight | ImageToSTLConverter,9596,1432,11028,87.01,12.99,39940,5833,45773,87.26,12.74,1301,274,1575,82.60,17.40
Visual Basic,heinsega | OX163,141520,38026,179546,78.82,21.18,639768,155427,795195,80.45,19.55,15751,8191,23942,65.79,34.21
Visual Basic,mangosvb | serverZero,501010,104249,605259,82.78,17.22,2410393,428131,2838524,84.92,15.08,69490,10624,80114,86.74,13.26
Visual Basic,rubberduck203 | VBEX,33218,7695,40913,81.19,18.81,148398,25013,173411,85.58,14.42,5170,2187,7357,70.27,29.73
Visual Basic,mateuszzwierzycki | Owl,99399,15790,115189,86.29,13.71,417009,53246,470255,88.68,11.32,14187,1730,15917,89.13,10.87
Visual Basic,michaelneu | webxcel,8057,44,8101,99.46,0.54,40402,185,40587,99.54,0.46,1437,195,1632,88.05,11.95
Visual Basic,netprofilesmod | netprofilesmod,65664,10825,76489,85.85,14.15,334852,47332,382184,87.62,12.38,6452,2084,8536,75.59,24.41
Visual Basic,moisesmcardona | GoogleDriveUploadTool,35832,1742,37574,95.36,4.64,186327,8501,194828,95.64,4.36,4563,620,5183,88.04,11.96
Visual Basic,spences10 | pacellman,10719,1848,12567,85.29,14.71,27373,18304,45677,59.93,40.07,1406,220,1626,86.47,13.53
Visual Basic,xiaoxiaoleo | Windows_Privilege_Escalation,11528,3179,14707,78.38,21.62,54371,10835,65206,83.38,16.62,1916,345,2261,84.74,15.26
Visual Basic,VBA-tools | VBA-JSON,7176,1883,9059,79.21,20.79,37552,8696,46248,81.20,18.80,1093,250,1343,81.38,18.62
Visual Basic,baijuxavior | AdvancedMCEMapperTool,14689,922,15611,94.09,5.91,58050,3532,61582,94.26,5.74,1364,141,1505,90.63,9.37
Visual Basic,VBA-tools | VBA-Web,42053,25036,67089,62.68,37.32,224564,99548,324112,69.29,30.71,6119,4068,10187,60.07,39.93
Visual Basic,mwsrc | PlasmaRAT,62916,3568,66484,94.63,5.37,282154,15116,297270,94.92,5.08,7536,950,8486,88.81,11.19
Visual Basic,avwuff | SVG-to-GCode,28187,7499,35686,78.99,21.01,94949,25181,120130,79.04,20.96,3657,1697,5354,68.30,31.70
Visual Basic,n8felton | Firefox-ADMX,2827,425,3252,86.93,13.07,20370,1912,22282,91.42,8.58,591,41,632,93.51,6.49
Visual Basic,DNNCommunity | DNN.Blog,110736,55830,166566,66.48,33.52,561178,202721,763899,73.46,26.54,14596,5310,19906,73.32,26.68
Visual Basic,cdhigh | tkinter-designer,87706,11859,99565,88.09,11.91,370452,121251,491703,75.34,24.66,11554,2616,14170,81.54,18.46
Visual Basic,ultrara1n | MiToolkit,7325,1483,8808,83.16,16.84,37526,6927,44453,84.42,15.58,1016,306,1322,76.85,23.15
Visual Basic,ArsenalRecon | Arsenal-Image-Mounter,60580,30845,91425,66.26,33.74,311622,118584,430206,72.44,27.56,9319,2813,12132,76.81,23.19
Visual Basic,MicrosoftDocs | iis-docs,100549,2430,102979,97.64,2.36,663780,10313,674093,98.47,1.53,7709,171,7880,97.83,2.17
Visual Basic,vbRichClient | vbWidgets,68963,11731,80694,85.46,14.54,299991,51135,351126,85.44,14.56,9254,1743,10997,84.15,15.85
Visual Basic,mgeeky | RobustPentestMacro,1480,889,2369,62.47,37.53,8322,4528,12850,64.76,35.24,315,143,458,68.78,31.22
Visual Basic,CuteLeon | Hack-System,90164,18770,108934,82.77,17.23,463836,95190,559026,82.97,17.03,9961,3670,13631,73.08,26.92
